name|bio|faculty_of
BLAKE EDWARDS|"BLAKE EDWARDS IS THE SENIOR ASSOCIATE DIRECTOR FOR MARKETING AND COMMUNICATIONS, STUDENT RECRUITMENT AND GLOBAL OUTREACH. BLAKE DEVELOPS AND IMPLEMENTS COHESIVE MARKETING AND COMMUNICATIONS PLANS DESIGNED TO DRIVE STUDENT ENROLLMENT. HE COLLABORATES WITH HIS COLLEAGUES IN ENROLLMENT MANAGEMENT, MARKETING, AND STUDENT RECRUITMENT TO DELIVER CONSISTENT VOICE, TONE, AND MESSAGING ACROSS MULTIPLE PLATFORMS. PRIOR TO JOINING HARRIS, BLAKE SERVED AS PROJECT MANAGER AND MARKETING AND ADVERTISING COORDINATOR FOR GOVERNORS STATE UNIVERSITY. BEFORE GSU, BLAKE TAUGHT ENGLISH AND LITERATURE AT COMMUNITY COLLEGES THROUGHOUT THE CHICAGOLAND AREA FOR EIGHT YEARS. PREVIOUS TO TEACHING, BLAKE WORKED AT THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS, WHERE HE SERVED AS SENIOR EDITOR, WRITER, AND PROJECT MANAGER FOR THE CREATIVE SERVICES TEAM FROM 1999–2008. BLAKE EARNED AN MFA IN CREATIVE WRITING (FICTION CONCENTRATION) FROM BROWN UNIVERSITY. HE EARNED A DUAL BACHELOR’S DEGREE (ENGLISH AND CREATIVE WRITING) FROM UNIVERSITY OF CALIFORNIA, RIVERSIDE. ""I ENJOY WORKING AT HARRIS BECAUSE I AM A STRONG BELIEVER IN EVIDENCE-BASED SOLUTIONS, AND I THRIVE IN A COLLABORATIVE ENVIRONMENT WHERE THOSE SOLUTIONS ARE OFTEN REALIZED."" A TOUGH CALL, BUT I THOROUGHLY ENJOYED WINTER JOURNEYS BY GEORGES PEREC AND THE OULIPO. OULIPO EMPHASIZES WRITING CONSTRAINTS (OFTEN INFORMED BY MATHEMATICS) TO STRUCTURE THEIR WRITINGS, AND WINTER JOURNEYS ALMOST EVOLVES LIKE AN EXQUISITE CORPSE, WITH EACH WRITER PUSHING THE ENVELOPE A BIT MORE ASKEW WITH EACH NARRATIVE. COOKING, AUDIO AND TEXT-BASED ART, ILLUMINATED MANUSCRIPT PAGES, TRAVELING, AND READING. I AM ALSO A YEAR-ROUND BICYCLIST (AND MOTORCYCLIST, PROVIDING THE ROADS ARE NOT ICY). TRAVEL: THERE’S A LOT OF WORLD OUT THERE TO EXPLORE."|HARRIS SCHOOL OF PUBLIC POLICY
BRANDON KURZWEG|BRANDON KURZWEG IS THE DIRECTOR OF STUDENT ENGAGEMENT AT HARRIS SCHOOL OF PUBLIC POLICY. IN HIS ROLE AT HARRIS, HE MANAGES THE STUDENT ENGAGEMENT OFFICE WHICH FOSTERS THE ACADEMIC AND CAREER DEVELOPMENT OF HARRIS STUDENTS BY CULTIVATING CO-CURRICULAR EXPERIENCES THAT DEEPEN STUDENTS’ SENSE OF BELONGING, CREATE OPPORTUNITIES FOR MENTORSHIP AND PEER SUPPORT, INSTILL CIVIC RESPONSIBILITY, FACILITATE PERSONAL DEVELOPMENT, AND PROMOTE OVERALL STUDENT WELLNESS. BRANDON PROVIDES LEADERSHIP ON ALL ASPECTS OF THE STUDENT LIFE PORTFOLIO AT HARRIS WHILE FOCUSING ON THE DEVELOPMENT OF OUR STUDENT LEADERS AND ENSURING AN ENRICHED CO-CURRICULAR EXPERIENCE. BRANDON IS EXCITED TO BUILD STUDENT'S LEADERSHIP CAPACITY AND CHALLENGE STUDENTS TO LEAVE YOUR LEGACY AT HARRIS. BRANDON IS A STUDENT AFFAIRS PROFESSIONAL WITH 10+ YEARS OF EXPERIENCE FOSTERING COMMUNITY ENGAGEMENT AND LEADERSHIP DEVELOPMENT WITH UNDERGRADUATE AND GRADUATE STUDENTS. PRIOR TO JOINING HARRIS, HE WORKED IN THE CENTER FOR LEADERSHIP AND INVOLVEMENT WITH THE DEPARTMENT OF CAMPUS AND STUDENT LIFE WITHIN THE UNIVERSITY, WHERE HE SUPPORTED COCURRICULAR EXPERIENCES FOR ALL STUDENTS AT THE UNIVERSITY. HIS PROFESSIONAL DEVELOPMENT HOME IS THE AMERICAN COLLEGE PERSONNEL ASSOCIATION (ACPA), WHICH SUPPORTS AND FOSTERS STUDENT LEARNING THROUGH THE GENERATION AND DISSEMINATION OF KNOWLEDGE, WHICH INFORMS POLICIES, PRACTICES, AND PROGRAMS FOR STUDENT AFFAIRS AND STUDENT SERVICES PROFESSIONALS AND THE HIGHER AND TERTIARY EDUCATION COMMUNITY. BRANDON IS PASSIONATE ABOUT CREATING EXPERIENCES THAT INCREASE INSTITUTIONAL RECRUITMENT, RETENTION, AND DEVELOPMENT PRIORITIES. BRANDON RECEIVED A MASTER’S DEGREE IN LEADERSHIP STUDIES FROM NORTH CENTRAL COLLEGE AND A BS IN COMMUNICATIONS FROM BRADLEY UNIVERSITY. IN ADDITION TO THESE DEGREES BRANDON IS A CERTIFIED GALLUP STRENGTHS COACH, IS CERTIFIED IN MENTAL HEALTH FIRST AID, AND HAS TAKEN COURSE WORK IN PMBOK PROJECT MANAGEMENT.|HARRIS SCHOOL OF PUBLIC POLICY
BRIAN FABES|BRIAN FABES IS A SENIOR FELLOW AT NORC, AND THE EXECUTIVE IN RESIDENCE AT THE BOOTH SCHOOL OF BUSINESS AND HARRIS SCHOOL OF PUBLIC POLICY AT THE UNIVERSITY OF CHICAGO. FABES’S PRIMARY RESEARCH IS ON THE ROLE OF CAPITAL MARKETS AND CORPORATE CAPITALISM ON LOCAL ECONOMIES AND POLICY-MAKING. HE IS THE MANAGING DIRECTOR OF CHICAGO'S CORPORATE COALITION, A COLLABORATIVE OF FIRMS COMMITTED TO USING THEIR ASSETS AND CAPABILITIES TO ADDRESS ECONOMIC INEQUITIES IN THE REGION. PRIOR TO HIS CURRENT ROLE WITH THE UNIVERSITY, FABES LED THE CIVIC CONSULTING ALLIANCE (CCA) FOR 15 YEARS. CCA FORGED CITY-WIDE COLLABORATIONS WITH PUBLIC AND PRIVATE SECTOR LEADERS. OVER THIS TIME, CCA PROVIDED MORE THAN $125 MILLION OF PRO BONO SERVICES TO GOVERNORS, MAYORS, THE COUNTY PRESIDENT, AND LEADERS OF MOST MAJOR PUBLIC SECTOR INSTITUTIONS. TOGETHER WITH PRIVATE LEADERS, CCA AND ITS PARTNERS PLAYED A CENTRAL ROLE IN MANY OF THE MOST SIGNIFICANT EDUCATIONAL, PUBLIC SAFETY, HEALTHCARE, AND ECONOMIC DEVELOPMENT INITIATIVES IN THE REGION OVER THE PAST DECADE AND A HALF.|HARRIS SCHOOL OF PUBLIC POLICY
BROOKE FOX|BROOKE FOX IS THE MANAGING EDITOR OF THE POLITICAL ECONOMY PUBLICATION, PROMARKET, AT THE STIGLER CENTER FOR THE STUDY OF THE ECONOMY AND THE STATE AT THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS AND A LECTURER AT THE HARRIS SCHOOL OF PUBLIC POLICY. SHE SPECIALIZES IN COMMUNICATING RESEARCH, DATA AND FINANCIAL AND ECONOMIC CONCEPTS TO A VARIETY OF AUDIENCES. PRIOR TO HER ROLES AT THE UNIVERSITY OF CHICAGO SHE WORKED AS A REPORTER ON THE VISUAL AND DATA JOURNALISM TEAM AT THE FINANCIAL TIMES IN NEW YORK CITY. SHE HAS BEEN A BUSINESS JOURNALISM FELLOW AT THE STIGLER CENTER, ACHIEVED GRADUATE COURSEWORK IN JOURNALISM AT HARVARD AND WAS INVITED TO THE OBAMA WHITE HOUSE FOR HER REPORTING AT USA TODAY. AS A JOURNALIST SHE HAS REPORTED ON A VARIETY OF TOPICS INCLUDING THE US ECONOMY, EQUITY AND DEBT MARKETS, US ELECTIONS AND CAMPAIGN FINANCE, EDUCATION, INSTITUTIONAL INVESTORS, RATINGS AGENCIES, HEALTHCARE, ANTITRUST, INTERNATIONAL POLITICS AND ECONOMIC RESEARCH.|HARRIS SCHOOL OF PUBLIC POLICY
BRUCE D. MEYER|BRUCE D. MEYER, THE MCCORMICK FOUNDATION PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY, STUDIES POVERTY AND INEQUALITY, TAX POLICY, GOVERNMENT SAFETY NET PROGRAMS SUCH AS UNEMPLOYMENT INSURANCE, WORKERS' COMPENSATION, FOOD STAMPS, AND MEDICAID, AND THE ACCURACY OF HOUSEHOLD SURVEYS. HIS MOST RECENT WORK INCLUDES RESEARCH ON TRENDS IN POVERTY AND INEQUALITY, THE CONSEQUENCES OF DISABILITY, THE EFFECTS OF MEDICAID, AND THE ACCURACY OF HOUSEHOLD SURVEYS. MEYER RECEIVED HIS BA AND MA IN ECONOMICS FROM NORTHWESTERN UNIVERSITY AND HIS PHD IN ECONOMICS FROM THE MASSACHUSETTS INSTITUTE OF TECHNOLOGY. HE HAS BEEN AT THE UNIVERSITY OF CHICAGO SINCE 2004. FROM 1987 TO 2004, MEYER WAS A PROFESSOR IN THE ECONOMICS DEPARTMENT AT NORTHWESTERN UNIVERSITY. HE HAS ALSO BEEN A VISITING PROFESSOR AT HARVARD UNIVERSITY, UNIVERSITY COLLEGE LONDON, AND PRINCETON UNIVERSITY, A MEMBER OF THE INSTITUTE FOR RESEARCH ON POVERTY, A RESEARCH ASSOCIATE AT THE NATIONAL BUREAU OF ECONOMIC RESEARCH, AND A FACULTY FELLOW AT THE INSTITUTE FOR POLICY RESEARCH. HE IS A MEMBER OF THE NATIONAL ACADEMY OF SOCIAL INSURANCE. MEYER HAS ALSO SERVED AS AN ADVISOR TO THE U.S. DEPARTMENT OF LABOR, U.S. BUREAU OF LABOR STATISTICS, NEW YORK STATE OFFICE OF TEMPORARY AND DISABILITY ASSISTANCE, HUMAN RESOURCES DEVELOPMENT CANADA, MANPOWER DEMONSTRATION RESEARCH CORPORATION, AND MATHEMATICA POLICY RESEARCH.|HARRIS SCHOOL OF PUBLIC POLICY
CARLOS FERNANDEZ VALDOVINOS|"CARLOS FERNÁNDEZ VALDOVINOS IS A PART-TIME LECTURER AT THE UNIVERSITY OF CHICAGO WITH VAST EXPERIENCE AS A POLICYMAKER. HE EARNED HIS DEGREE IN ECONOMICS FROM UNIVERSIDAD FEDERAL DO PARANÁ, BRAZIL (1990). HE RECEIVED HIS M.SC. IN ECONOMICS FROM THE UNIVERSITY OF ILLINOIS AT URBANA–CHAMPAIGN (1994) AND HIS PH.D. IN ECONOMICS FROM UNIVERSITY OF CHICAGO (1999), WITH THE PRESENTATION OF THE DOCTORAL THESIS ""INFLATION AND WELFARE IN AN ENDOGENOUSLY GROWING ECONOMY"". ROBERT E. LUCAS (CHAIRMAN), LARRY SJAASTAD, AND FERNANDO ALVAREZ SERVED AS MEMBERS OF THE EVALUATION COMMITTEE.  HE WAS GOVERNOR OF THE CENTRAL BANK OF PARAGUAY BETWEEN 2013 AND 2018. DURING HIS TENURE, HE RECEIVED SEVERAL INTERNATIONAL AWARDS AND RECOGNITIONS FOR HIS WORK INCLUDING CENTRAL BANK GOVERNOR OF THE YEAR 2017 AND 2018 BY CENTRAL BANKING MAGAZINE AND CENTRAL BANKER OF THE YEAR, AMERICAS 2017 BY THE BANKER MAGAZINE, A PUBLICATION OF THE FINANCIAL TIMES.  PREVIOUSLY HE SERVED AS AN ECONOMIST AT THE WORLD BANK (2004-2006) AND THE IMF (2006-2913), WHERE HE WAS APPOINTED AS THE IMF RESIDENT REPRESENTATIVE FOR BOLIVIA AND BRAZIL IN 2011. IN THE ACADEMIC FIELD, FERNÁNDEZ VALDOVINOS WAS A PROFESSOR IN PARAGUAY AT THE UNIVERSIDAD NACIONAL DE ASUNCIÓN AND UNIVERSIDAD CATÓLICA NUESTRA SEÑORA DE LA ASUNCIÓN. HE HAS ALSO LECTURED AT GEORGETOWN UNIVERSITY AND UNIVERSIDAD SAN ANDRES, ARGENTINA. HIS EXTENSIVE PUBLICATION RECORD INCLUDES ARTICLES IN NUMEROUS COLLECTIVE VOLUMES AND ACADEMIC JOURNALS. HE ALSO HAS CO-AUTHORED OR EDITED SEVERAL BOOKS AND MONOGRAPHS ON THE PARAGUAYAN ECONOMY."|HARRIS SCHOOL OF PUBLIC POLICY
CAROL BROWN|"AS EXECUTIVE DIRECTOR OF HARRIS POLICY LABS, CAROL BROWN PAIRS HER PASSION FOR PUBLIC POLICY AND SOCIAL IMPACT WITH THE IMPORTANCE OF EXPOSING STUDENTS TO PUBLIC POLICY OUTSIDE THE CLASSROOM. POLICY LABS ARE HARRIS ELECTIVE COURSES AT HARRIS PUBLIC POLICY, IN WHICH STUDENTS WORK IN SMALL MULTI-DISCIPLINARY TEAMS TO TACKLE COMPLEX PUBLIC POLICY CHALLENGES FOR GOVERNMENT AGENCIES AND NONPROFITS IN CHICAGO AND BEYOND.
PRIOR TO HARRIS, CAROL WORKED FOR THE CITY OF CHICAGO UNDER MAYOR RICHARD M. DALEY IN SEVERAL DIFFERENT CAPACITIES. AS CHIEF OF POLICY, SHE OVERSAW DEVELOPMENT AND IMPLEMENTATION OF KEY MAYORAL POLICY PRIORITIES ON A RANGE OF ISSUES INCLUDING EDUCATION, PUBLIC SAFETY, ENVIRONMENT, ECONOMIC DEVELOPMENT, RESPONSES TO THE GREAT RECESSION, AND COLLABORATION WITH OTHER MAYORS. AS ASSOCIATE DIRECTOR OF THE MAYOR'S OFFICE OF INTERGOVERNMENTAL AFFAIRS (WASHINGTON DC BRANCH), SHE ENGAGED WITH CONGRESS, THE WHITE HOUSE, FEDERAL AGENCIES, AND NATIONAL TRADE ASSOCIATIONS TO ADVANCE THE CITY OF CHICAGO'S FEDERAL LEGISLATIVE, POLICY, AND FUNDING PRIORITIES. AS ASSISTANT TO THE COMMISSIONER AT THE CHICAGO DEPARTMENT OF ENVIRONMENT, SHE HELPED DEVELOP ENVIRONMENTAL AND ENERGY INITIATIVES TO POSITION CHICAGO AS A NATIONAL LEADER ON SUSTAINABILITY.
CAROL IS A LICENSED ATTORNEY. PRIOR TO CITY OF CHICAGO GOVERNMENT, SHE PRACTICED ENERGY AND TELECOMMUNICATIONS LAW AND HELD POSITIONS IN THE TRANSPORTATION AND BANKING SECTORS. SHE HOLDS A J.D. AND A CERTIFICATE IN ENVIRONMENTAL AND ENERGY LAW FROM THE ILLINOIS INSTITUTE OF TECHNOLOGY-CHICAGO KENT COLLEGE OF LAW, AND A B.A. IN ECONOMICS FROM THE UNIVERSITY OF WISCONSIN-MADISON."|HARRIS SCHOOL OF PUBLIC POLICY
CAROLIN PFLUEGER|CAROLIN PFLUEGER IS AN ASSOCIATE PROFESSOR AT THE HARRIS SCHOOL OF PUBLIC POLICY. SHE IS ALSO A NATIONAL BUREAU OF ECONOMIC RESEARCH (NBER) FACULTY RESEARCH FELLOW AND CENTRE FOR ECONOMIC AND POLICY RESEARCH (CEPR) RESEARCH AFFILIATE. HER RESEARCH IS AT THE INTERSECTION OF MACROECONOMICS AND FINANCE AND HAS BEEN SUPPORTED BY THE NATIONAL SCIENCE FOUNDATION.  SHE IS PARTICULARLY INTERESTED IN HOW INFLATION AND MONETARY POLICY ARE LINKED TO FINANCIAL MARKETS. ONE STRAND OF HER RECENT AND ONGOING RESEARCH DEVELOPS MODELS THAT LINK THE RISKINESS OF NOMINAL TREASURY BONDS TO THE ECONOMIC DRIVERS OF ``STAGFLATIONS’’, OR HIGH INFLATION RECESSIONS.  A SECOND STRAND OF RESEARCH FOCUSES ON EXPLOITING RICH DATA SOURCES, SUCH AS CROSS-SECTIONAL DATA OF ECONOMIC FORECASTS AND THE CROSS-SECTION OF STOCK PRICES, TO MEASURE SOPHISTICATED AGENTS’ PERCEPTIONS OF MONETARY POLICY AND ECONOMIC UNCERTAINTY, AND UNDERSTAND HOW THESE PERCEPTIONS IMPACT THE MACROECONOMY AND FINANCIAL MARKETS.|HARRIS SCHOOL OF PUBLIC POLICY
CAROLINE JOHNSON|CAROLINE JOHNSON WAS BORN AND RAISED IN COLORADO SPRINGS, CO. SHE ATTENDED THE UNITED STATES NAVAL ACADEMY AND GRADUATED WITH A BACHELOR OF SCIENCE IN ECONOMICS IN 2009. UPON COMMISSIONING AS A NAVAL OFFICER, SHE JOINED THE ELITE, NAVAL AVIATION COMMUNITY AND BEGAN FLIGHT TRAINING IN PENSACOLA, FL. IN 2011, SHE WAS AWARDED HER WINGS OF GOLD AND DESIGNATED A NAVAL FLIGHT OFFICER, MORE SPECIFICALLY AN F/A-18 WEAPONS SYSTEMS OFFICER AND SHE WAS AWARDED THE PAUL F. LAWRENCE AWARD FOR TOP STRIKE FIGHTER GRADUATE AND WAS ALSO RECOGNIZED AS THE OVERALL TOP GRADUATE. CAROLINE FLEW F/A-18 SUPER HORNETS AS A MEMBER OF VFA-213 THE WORLD-FAMOUS FIGHTING BLACKLIONS AND SHE EMBARKED ABOARD THE USS GEORGE H.W. BUSH, DEPLOYING FOR 9 MONTHS IN 2014. ON HER HISTORIC DEPLOYMENT, CAROLINE AND THE BLACKLIONS FLEW IN SUPPORT OF OPERATIONS IN AFGHANISTAN, IRAQ, AND SYRIA. HER SQUADRON EMPLOYED THE FIRST WEAPONS ON ISIS IN IRAQ, LED THE FIRST EVER STRIKES INTO SYRIA, AND CAROLINE WAS THE FIRST WOMAN TO NEUTRALIZE ISIS FROM AN F/A-18. AT THE BLACKLIONS, CAROLINE COMPLETED HER SFWT LEVEL II, III, AND IV QUALIFICATIONS, SHE EARNED HER QUALIFICATION AS A COMBAT MISSION COMMANDER, AND SHE ALSO GRADUATED WITH HONORS FROM THE UNIVERSITY OF OKLAHOMA WITH A MASTERS OF ARTS IN ADMINISTRATIVE LEADERSHIP. DURING HER FINAL TOUR ON ACTIVE DUTY, CAROLINE RETURNED TO THE UNITED STATES NAVAL ACADEMY, WHERE SHE WAS A SENIOR LEADERSHIP INSTRUCTOR AND AVIATION OPERATIONS OFFICER. DURING HER INSTRUCTOR TOUR, SHE DEVELOPED A NEW LEADERSHIP CURRICULUM FOR 1100+ THIRD YEAR UNDERGRADUATE STUDENTS, PILOTED A GENDER IN LEADERSHIP NOLS COURSE, SAT ON THE NAVAL ACADEMY WOMEN'S NETWORK BOARD, AND WAS CONSISTENTLY RANKED AS ONE OF THE TOP LEADERSHIP INSTRUCTORS IN THE 35+ MEMBER LEADERSHIP, ETHICS, AND LAW DEPARTMENT. CURRENTLY IN THE NAVY RESERVES, CAROLINE CONTINUES HER SERVICE AS AN ADVISOR AND LIAISON OFFICER FOR A FORT WORTH BASED TASK FORCE.  TRANSITIONING TO THE PRIVATE SECTOR, CAROLINE PUBLISHED HER MEMOIR, JET GIRL, IN NOVEMBER 2019 AND WAS FEATURED ON THE TODAY SHOW, FOX & FRIENDS, MSNBC AND CURRENTLY SHE IS A PROFESSIONAL LEADERSHIP SPEAKER APPEARING AT GOOGLE, HARVARD, MERRILL LYNCH, SAP AND AMONG OTHERS. PROFESSIONALLY SHE HAS WORKED FOR EXTENDED PERIODS AT PRIVATE SECTOR COMPANIES LIKE POINT72 AND GARTNER, AND HAS MANAGED HER SOLE PROPRIETORSHIP. IN ADDITION TO SPEAKING, CAROLINE IS PRESENTLY A LECTURER AT UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY AND IS ATTENDING UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS EXECUTIVE MBA PROGRAM.|HARRIS SCHOOL OF PUBLIC POLICY
CAROLINE SELBY|CAROLINE IS A SEASONED EXECUTIVE ASSISTANT AND OPERATIONS PROFESSIONAL WITH OVER 10 YEARS OF EXPERIENCE WORKING WITH INFLUENTIAL PRINCIPALS FROM MEMBERS OF CONGRESS TO POLICY MAKERS AND TOP CAMPAIGN OPERATIVES. SHE HAS SPENT THE MAJORITY OF HER CAREER IN WASHINGTON, DC AND IS EXCITED TO TRANSITION BACK TO CHICAGO, WHERE SHE IS FROM, TO BE CLOSER TO FAMILY AND FRIENDS.|HARRIS SCHOOL OF PUBLIC POLICY
CAROLYN SLOANE|"CAROLYN M. SLOANE IS AN ASSISTANT INSTRUCTIONAL PROFESSOR AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. SHE IS A LABOR ECONOMIST PURSUING POLICY-RELEVANT RESEARCH QUESTIONS RELATED TO THE REAL CONSEQUENCES OF RISING WAGE INEQUALITY, NON-PARTICIPATION IN THE LABOR MARKET, HUMAN CAPITAL SPECIALIZATION AND THE COLLEGE GENDER WAGE GAP, AND DIFFERENTIAL QUALITY OF PUBLIC, POSTSECONDARY EDUCATIONAL OFFERINGS ACROSS LOCATION IN THE US. BEFORE JOINING HARRIS, SHE WAS AN ASSISTANT PROFESSOR IN THE DEPARTMENT OF ECONOMICS AT THE UNIVERSITY OF CALIFORNIA, RIVERSIDE AND HELD A VISITING APPOINTMENT AT THE UNIVERSITY OF CHICAGO. DR. SLOANE HOLDS A BA FROM VANDERBILT UNIVERSITY, MBA FROM THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS, AND A PHD IN PUBLIC POLICY FROM THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY. WHILE AT UC RIVERSIDE, SHE ORIGINATED THE COURSE, ROCKONOMICS, WHICH WAS INSPIRED BY DR. ALAN KRUEGER'S RESEARCH ON THE ECONOMICS OF THE MUSIC INDUSTRY AND BOOK, ROCKONOMICS. STARTING IN JANUARY 2024, A REIMAGINED VERSION OF THIS COURSE WILL BE OFFERED AT THE UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY AND WILL INCORPORATE THE STUDY OF PUBLIC POLICY ISSUES AFFECTING CREATIVE SECTORS. DR. SLOANE WILL ALSO TEACH A PRINCIPLES COURSE IN MICROECONOMICS TO UNDERGRADUATE PUBLIC POLICY STUDENTS AND STUDENTS IN THE EVENING MASTERS PROGRAM. DR. SLOANE’S RESEARCH AND TEACHING HAS BEEN COVERED BY THE WALL STREET JOURNAL, CNBC, NPR, LOS ANGELES TIMES, WASHINGTON POST, BLOOMBERG, PITCHFORK, SCRIPPS, THE HILL, KCBS RADIO, WCBS NEWSRADIO 880, NIKKI MEDORO SHOW, AND THE SEATTLE TIMES. PUBLISHED RESEARCH:  ""COLLEGE MAJORS, OCCUPATIONS AND THE GENDER WAGE GAP"" WITH ERIK G. HURST AND DAN BLACK, JOURNAL OF ECONOMIC PERSPECTIVES, 35, NO. 4 (2021):223-48 MORE ON ROCKONOMICS: HTTPS://SITES.GOOGLE.COM/SITE/SLOANECAROLYN/TEACHING/ROCKONOMICS IN THE NEWS: HTTPS://SITES.GOOGLE.COM/SITE/SLOANECAROLYN/IN-THE-NEWS PERSONAL WEBSITE: HTTPS://SITES.GOOGLE.COM/SITE/SLOANECAROLYN/HOME"|HARRIS SCHOOL OF PUBLIC POLICY
CAT JACOB|"CAT JACOB IS A PROGRAM ASSOCIATE FOR THE CENTER FOR EFFECTIVE GOVERNMENT (CEG), WHERE SHE SUPPORTS CEG’S PLANNING AND EXECUTION OF FACULTY AND PRACTITIONER PROGRAMMING. 
BEFORE JOINING THE CENTER FOR EFFECTIVE GOVERNMENT, CAT WORKED AS AN ADMINISTRATIVE ASSISTANT AT WINTER & ASSOCIATES, AN INTERNATIONAL STATE AND TRUST FIRM IN EVANSTON, ILLINOIS. AS THE SENIOR ASSISTANT CAT MANAGED A TEAM OF FOUR, INTERFACED WITH CLIENTS, PREPPED LEGAL DOCUMENTS, AND
COMPLETED NEW HIRE ONBOARDING. HER OTHER DUTIES INCLUDED MANAGING THE FIRM’S FINANCIAL ACCOUNTS, HOUSEKEEPING MATTERS, AND PAYROLL. CAT ALSO SERVED AS A PATHWAYS INTERN IN THE OFFICE OF REAL PROPERTY MANAGEMENT WITHIN THE DEPARTMENT OF STATE. CAT JACOB GRADUATED FROM NORTHWESTERN UNIVERSITY WITH A BA IN POLITICAL SCIENCE WITH A MINOR IN CHINESE AND MIDDLE EASTERN HISTORY. DURING HER UNDERGRADUATE STUDIES, HER RESEARCH INTERESTS FOCUSED ON FOREIGN POLICY; SPECIFICALLY THE ADMINISTRATION OF MILITARY AID AND RELATIONS WITH CHINA."|HARRIS SCHOOL OF PUBLIC POLICY
CATHERINE COHEN|CATHERINE IS THE EVENTS COORDINATOR FOR THE HARRIS SCHOOL OF PUBLIC POLICY. IN THIS ROLE, SHE MANAGES THE KELLER CENTER FACILITY RENTALS AND ASSISTS THE EVENTS TEAM WITH THE EXECUTION OF SIGNATURE AND BRANDED EVENTS. PRIOR TO HARRIS, CATHERINE WORKED IN PROMOTIONS FOR HUBBARD BROADCASTING CHICAGO, WHERE SHE ASSISTED IN THE PLANNING AND EXECUTION OF COMMUNITY AND BRANDED EVENTS, AS WELL AS MANAGED CONTEST AND PRIZING OPERATIONS. BEFORE HER WORK WITH HUBBARD, SHE WORKED AS A STUDENT MANAGER FOR THE LOYOLA WOMEN’S BASKETBALL TEAM, OVERSEEING COVID PROTOCOLS, ATHLETE AND COACH SCHEDULES, AND TRAVEL AND GAME PREPARATION. CATHERINE HOLDS A B.A. WITH HONORS FROM LOYOLA UNIVERSITY CHICAGO IN ADVERTISING AND PUBLIC RELATIONS WITH A MINOR IN MARKETING.|HARRIS SCHOOL OF PUBLIC POLICY
CATINA LATHAM|DR. LATHAM IS AN ACTING DIRECTOR AT GAO OVERSEEING WORK ON THE PHYSICAL INFRASTRUCTURE AND HEALTH CARE TEAMS. SHE FIRST JOINED GAO IN SEPTEMBER 1999. FROM 1999-2015, SHE WORKED ON THE HEALTH CARE TEAM ON MEDICAID OUTREACH, ACCESS TO CARE, PAYMENTS, AND DELIVERY OF SERVICES AS WELL AS WELL AS HEALTH CARE DELIVERY FOR THE INDIAN HEALTH SERVICES AND THE DEPARTMENTS OF DEFENSE AND VETERANS AFFAIRS. FROM 2015-2020, DR. LATHAM WORKED FOR THE UNIVERSITY OF CHICAGO MEDICINE EVALUATING COMMUNITY HEALTH PROGRAMS AND FOR THE ILLINOIS DEPARTMENT OF HEALTH AND FAMILY SERVICES TO IMPROVE HEALTH OUTCOMES FOR MEDICAID BENEFICIARIES. DR. LATHAM REJOINED GAO IN 2020 AS AN ACTING DIRECTOR.  SHE HAS ALSO TAUGHT AS AN ADJUNCT LECTURER AT THE UNIVERSITY OF CHICAGO’S HARRIS SCHOOL OF PUBLIC POLICY SINCE 2019. DR. LATHAM HAS CONTRIBUTED TO VARIOUS GAO PROJECTS PROMOTING DIVERSITY AND INCLUSION.  HER CONTRIBUTIONS HAVE BEEN RECOGNIZED WITH NUMEROUS GAO-WIDE AND HEALTH CARE TEAM AWARDS INCLUDING A GAO MERITORIOUS SERVICE AWARD AND SEVERAL HEALTH CARE TEAM DIVERSITY AWARDS. DR. LATHAM HAS WORKED IN GAO HEADQUARTERS AS WELL AS THE ATLANTA AND CHICAGO FIELD OFFICES AND HAS BEEN A PART OF GAO’S RECRUITING EFFORTS IN ALL LOCATIONS.    DR. LATHAM EARNED A DOCTORATE IN PUBLIC ADMINISTRATION (WITH AN EMPHASIS IN HEALTH POLICY AND EVALUATION) AND A MASTER’S DEGREE IN HEALTH SERVICES ADMINISTRATION FROM GEORGE WASHINGTON UNIVERSITY. SHE ALSO EARNED A BACHELOR’S DEGREE IN ANTHROPOLOGY FROM THE UNIVERSITY OF CHICAGO.|HARRIS SCHOOL OF PUBLIC POLICY
