name|faculty_of|has_phd_info|phd_where
ALLISON YOUATT SCHNABLE|INDIANA UNIVERSITY O'NEILL SCHOOL| SECTOR IN COMPARATIVE PERSPECTIVE (O’NEILL IN DENMARK)V221:| SECTOR IN COMPARATIVE PERSPECTIVE (O’NEILL IN DENMARK)V221:
AMANDA RUTHERFORD|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITYMPA, UNIVERSITY OF OKLAHOMAB.A. AND B.B.A.,| OF OKLAHOMAB.A. AND B.B.A.,
AMANDA SCHERER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
AMY HARRIS|FORD SCHOOL OF PUBLIC POLICY| STUDIES AND A BA FROM MIDDLEBURY COLLEGE. SHE RECEIVED AN AWARD FOR| STUDIES AND A BA FROM MIDDLEBURY COLLEGE. SHE RECEIVED AN AWARD FOR
AMY M.  STARK|INDIANA UNIVERSITY O'NEILL SCHOOL|MPA, NONPROFIT MANAGEMENT, INDIANA UNIVERSITY, 2020B.S.,|MPA, NONPROFIT MANAGEMENT, INDIANA UNIVERSITY, 2020B.S.,
AMY OSAJIMA|INDIANA UNIVERSITY O'NEILL SCHOOL| MINNESOTA, 1994B.M., CUM LAUDE,| MERAGE SCHOOL OF BUSINESS, 2009M.M., UNIVERSITY OF MINNESOTA, 1994B.M.,
ANDREA NEED|INDIANA UNIVERSITY O'NEILL SCHOOL| RESOURCES,| RESOURCES,
ANDRÉ FRANCO|INDIANA UNIVERSITY O'NEILL SCHOOL| 2015MS, BIOENERGY, UNIVERSIDADE ESTADUAL| 2015MS, BIOENERGY, UNIVERSIDADE ESTADUAL
ANH NGOC TRAN|INDIANA UNIVERSITY O'NEILL SCHOOL| ECONOMICS, UNIVERSITY OF NEW SOUTH WALES, 1999A.B.| ECONOMICS, UNIVERSITY OF NEW SOUTH WALES, 1999A.B.
ANNIE HSU|INDIANA UNIVERSITY O'NEILL SCHOOL| TAIWANPUBLIC FINANCE AND BUDGETINGFINANCIAL AND| TAIWANPUBLIC FINANCE AND
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY - SOUTH BEND, 1999ELEMENTS| UNIVERSITY - SOUTH BEND, 1999ELEMENTS
ANTUNG ANTHONY LIU|INDIANA UNIVERSITY O'NEILL SCHOOL| 2012M.A., UNIVERSITY OF CALIFORNIA-SANTA BARBARA.| 2012M.A., UNIVERSITY OF CALIFORNIA-SANTA BARBARA.
APRIL GRUDI|INDIANA UNIVERSITY O'NEILL SCHOOL|M.P.H., EMORY UNIVERSITY, 2008B.A.,|M.P.H., EMORY UNIVERSITY, 2008B.A.,
ARI  SOLOTOFF|INDIANA UNIVERSITY O'NEILL SCHOOL|JD,|JD,
ARTHUR APPLBAUM|HARVARD KENNEDY SCHOOL| FELLOW IN ETHICS AT HARVARD, AND| FELLOW IN ETHICS AT HARVARD, AND
ASHLEY CLARK|INDIANA UNIVERSITY O'NEILL SCHOOL| CAROLINA,| CAROLINA,
ASHLYN AIKO NELSON|INDIANA UNIVERSITY O'NEILL SCHOOL| ECONOMICS; B.S. (MAGNA| ECONOMICS; B.S. (MAGNA
AVRAM  G. PRIMACK|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCE, ANTIOCH COLLEGE, 1979| SCIENCE, ANTIOCH COLLEGE, 1979
BARBARA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY|" POLICY.
PRIOR"|" POLICY.
PRIOR"
BERENICE BARREIRO|HARRIS SCHOOL OF PUBLIC POLICY| PARTNERS. | A NETWORK OF INTERNAL PARTNERS.  BERENICE
BEVIS PARDEE|HARRIS SCHOOL OF PUBLIC POLICY|ANY’S| SEVERAL GROUNDBREAKING
BILLY MORGAN|HARRIS SCHOOL OF PUBLIC POLICY| PAT QUINN, BOTH IN AND OUT OF OFFICE.| ROLE, BILLY
BLAKE EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY| TRAVEL: THERE’S A LOT OF WORLD OUT THERE TO EXPLORE.| BIT MORE ASKEW WITH EACH NARRATIVE.
BRANDON KURZWEG|HARRIS SCHOOL OF PUBLIC POLICY| COURSE WORK IN PMBOK PROJECT MANAGEMENT.| MANAGEMENT.
BRIAN FABES|HARRIS SCHOOL OF PUBLIC POLICY| DECADE AND A HALF.| DECADE AND A HALF.
BROOKE FOX|HARRIS SCHOOL OF PUBLIC POLICY| A LECTURER| A LECTURER
BRUCE D. MEYER|HARRIS SCHOOL OF PUBLIC POLICY| SINCE 2004.| SINCE 2004.
BAILEY ANSTEAD|INDIANA UNIVERSITY O'NEILL SCHOOL|JD, INDIANA UNIVERSITY,|JD,
BARRY M. RUBIN|INDIANA UNIVERSITY O'NEILL SCHOOL| PLANNING, UNIVERSITY OF WISCONSIN, MADISON, 1975B.S., MAGNA CUM| PLANNING, UNIVERSITY OF WISCONSIN, MADISON, 1975B.S., MAGNA
BEN INSKEEP|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BETH  GAZLEY|INDIANA UNIVERSITY O'NEILL SCHOOL| PROFESSIONALS, 1996B.A., MIDDLEBURY COLLEGE, VERMONT, 1983C.E.P.,| PROFESSIONALS, 1996B.A., MIDDLEBURY COLLEGE, VERMONT, 1983C.E.P.,
BETH CATE|INDIANA UNIVERSITY O'NEILL SCHOOL| (SUMMA CUM LAUDE), ECONOMICS, GEORGE WASHINGTON UNIVERSITY, 1988CAPSTONE| (SUMMA CUM LAUDE), ECONOMICS, GEORGE WASHINGTON UNIVERSITY, 1988CAPSTONE
BETH CHIMERA|FORD SCHOOL OF PUBLIC POLICY| HAS TAUGHT EXPOSITORY AND CREATIVE WRITING, AND IS THE RECIPIENT OF A PUSHCART| HAS TAUGHT EXPOSITORY AND CREATIVE WRITING, AND IS THE RECIPIENT OF A PUSHCART
BRAD R. FULTON|INDIANA UNIVERSITY O'NEILL SCHOOL| AFFAIRSSTATISTICS FOR THE SOCIAL SCIENCES (ALSO| AFFAIRSSTATISTICS FOR THE SOCIAL SCIENCES (ALSO
BRAD SCHROEDER|INDIANA UNIVERSITY O'NEILL SCHOOL| ENGINEERING, CALIFORNIA STATE UNIVERSITY, CHICO, 1984| ENGINEERING, CALIFORNIA STATE UNIVERSITY, CHICO, 1984
BRADFORD WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL| STATE UNIVERSITY,| STATE UNIVERSITY,
BRADLEY T. HEIM|INDIANA UNIVERSITY O'NEILL SCHOOL| MATHEMATICAL SCIENCES, (MAGNA CUM LAUDE), JOHNS HOPKINS UNIVERSITY, 1997FINANCIAL| MATHEMATICAL SCIENCES, (MAGNA CUM LAUDE), JOHNS HOPKINS UNIVERSITY, 1997FINANCIAL
BRIAN A. JACOB|FORD SCHOOL OF PUBLIC POLICY| GAPS AFFECT STUDENT PERFORMANCE.” EDUCATION FINANCE AND POLICY.| GAPS AFFECT STUDENT PERFORMANCE.” EDUCATION FINANCE AND POLICY.
BRIAN DELONG|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 2008B.A.,| UNIVERSITY, 2008B.A.,
BRIAN PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BRIAN RICHARDSON JR.|INDIANA UNIVERSITY O'NEILL SCHOOL| EDWARDSVILLE,| EDWARDSVILLE,
BRIAN RICHWINE|INDIANA UNIVERSITY O'NEILL SCHOOL| KETTERING UNIVERSITY, FLINT, MICHIGAN,  1991| KETTERING UNIVERSITY, FLINT, MICHIGAN,  1991
BRIAN VOLSKY|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICYMAKING THE| LAW SCHOOL,
BURNELL FISCHER|INDIANA UNIVERSITY O'NEILL SCHOOL| 1974M.S.F., PURDUE UNIVERSITY, 1971B.S.F.,| 1974M.S.F., PURDUE UNIVERSITY, 1971B.S.F.,
C. KURT ZORN|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1978B.A.| UNIVERSITY, 1978B.A.
CARLOS FERNANDEZ VALDOVINOS|HARRIS SCHOOL OF PUBLIC POLICY| IN 2011. IN| ECONOMY.
CAROL BROWN|HARRIS SCHOOL OF PUBLIC POLICY| AFFAIRS (WASHINGTON DC BRANCH),| AFFAIRS (WASHINGTON DC BRANCH),
CAROLIN PFLUEGER|HARRIS SCHOOL OF PUBLIC POLICY| RESEARCH (CEPR) RESEARCH AFFILIATE. HER| RESEARCH (CEPR) RESEARCH
CAROLINE JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY| AMONG OTHERS.| MEMOIR, JET
CAROLINE SELBY|HARRIS SCHOOL OF PUBLIC POLICY| CLOSER TO FAMILY AND FRIENDS.| FROM, TO BE CLOSER TO FAMILY AND FRIENDS.
CAROLYN SLOANE|HARRIS SCHOOL OF PUBLIC POLICY|" RESEARCH:  ""COLLEGE"|" RESEARCH:  ""COLLEGE"
CAT JACOB|HARRIS SCHOOL OF PUBLIC POLICY|" PRACTITIONER PROGRAMMING. 
BEFORE"| GOVERNMENT (CEG),
CATHERINE COHEN|HARRIS SCHOOL OF PUBLIC POLICY| PROTOCOLS, ATHLETE| AS MANAGED CONTEST AND PRIZING OPERATIONS.
CATINA LATHAM|HARRIS SCHOOL OF PUBLIC POLICY| SINCE 2019.| SINCE 2019.
CHAD BROUGHTON|HARRIS SCHOOL OF PUBLIC POLICY| THE 2015 BOOK, BOOM,| THE 2015 BOOK, BOOM,
CHASSE REHWINKEL|HARRIS SCHOOL OF PUBLIC POLICY| JULY 1, 2023.| COLLEGE.
CHENHAO TAN|HARRIS SCHOOL OF PUBLIC POLICY| SYSTEMS, AND TO WHAT EXTEND.| SYSTEMS, AND TO WHAT EXTEND.
CHRIS CLAPP|HARRIS SCHOOL OF PUBLIC POLICY| WORK RELATED| DOG, BOOMER.
CHRISTINA XU|HARRIS SCHOOL OF PUBLIC POLICY| WITH FUNDING| CONCENTRATION IN MARKETING AND FINANCE.
CHRISTOPHER BERRY|HARRIS SCHOOL OF PUBLIC POLICY| PROFESSOR BERRY'S| ASSOCIATION, THEORY
CHRISTOPHER BLATTMAN|HARRIS SCHOOL OF PUBLIC POLICY| COLOMBIA, AND THE UNITED STATES.| BANK,
CLAIRE PALANDRI|HARRIS SCHOOL OF PUBLIC POLICY| TO 2 AREAS: (I)| AGROPARISTECH (FRANCE).
CLAYTON HARRIS|HARRIS SCHOOL OF PUBLIC POLICY| FINANCES, JUDICIAL, ETC.| WHITE &
COLM O'MUIRCHEARTAIGH|HARRIS SCHOOL OF PUBLIC POLICY| THE 2010 CENSUS.| KENYA, LESOTHO, AND PERU.
CYNTHIA TAYLOR|HARRIS SCHOOL OF PUBLIC POLICY| ELEVEN YEARS.| IN 2017,
CANDACE BERTOTTI|HARVARD KENNEDY SCHOOL| CHANGE?WATCH CANDACE'S BIG IDEA:  WWW.TINYURL.COM/CANDACEBIGIDEA| CHANGE?WATCH CANDACE'S BIG IDEA:  WWW.TINYURL.COM/CANDACEBIGIDEA
CARLEIGH BERIONT|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
CATHERINE H. HAUSMAN|FORD SCHOOL OF PUBLIC POLICY| JOURNAL: ECONOMIC POLICY, THE BROOKINGS PAPERS ON ECONOMIC ACTIVITY, AND THE| JOURNAL: ECONOMIC POLICY, THE BROOKINGS PAPERS ON ECONOMIC ACTIVITY, AND THE
CHARLES  DUNLAP|INDIANA UNIVERSITY O'NEILL SCHOOL| 1996INSTITUTE ON INTERNATIONAL AND COMPARATIVE LAW,| 1996INSTITUTE ON INTERNATIONAL AND COMPARATIVE LAW,
CHARLES BONSER|INDIANA UNIVERSITY O'NEILL SCHOOL|DBA, BUSINESS ADMINISTRATION, INDIANA UNIVERSITY,| ADMINISTRATION, INDIANA UNIVERSITY,
CHARLES R. WISE|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1972M.A., INDIANA UNIVERSITY, 1970B.A.,| UNIVERSITY, 1972M.A., INDIANA UNIVERSITY, 1970B.A.,
CHARLIE PRIDE, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL| INDIANA, 2013B.S., ACCOUNTING AND PROFESSIONAL SERVICES,| INDIANA, 2013B.S., ACCOUNTING AND PROFESSIONAL SERVICES,
CHARLOTTE CAVAILLÉ|FORD SCHOOL OF PUBLIC POLICY| THE DYNAMICS OF POPULAR ATTITUDES TOWARDS REDISTRIBUTIVE SOCIAL POLICIES AT A TIME| POPULISM. CAVAILLÉ RECEIVED HER PHD IN GOVERNMENT AND
CHERYL K.  HUGHES|INDIANA UNIVERSITY O'NEILL SCHOOL| ADMINISTRATION, INDIANA WESLEYAN UNIVERSITY, 1999DIVERSITYHUMAN| ADMINISTRATION, INDIANA WESLEYAN UNIVERSITY, 1999DIVERSITYHUMAN
CHRIS JACKSON|INDIANA UNIVERSITY O'NEILL SCHOOL| 2013B.A., POLITICAL SCIENCE,| SCIENCE,
CHRIS SCHRADER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CHRIS WAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL| H124HEALTHCARE ETHICS - H374HOSPITAL| ADMINISTRATION, SULLIVAN UNIVERSITYMS,
CHRISTOPHER  KOHLER|INDIANA UNIVERSITY O'NEILL SCHOOL| GEOLOGY, INDIANA UNIVERSITY, 1985B.A.,| GEOLOGY, INDIANA UNIVERSITY, 1985B.A.,
CHRISTOPHER CRAFT|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1987M.S., ECOLOGY, UNIVERSITY OF TENNESSEE, 1983B.A.,| UNIVERSITY, 1987M.S., ECOLOGY, UNIVERSITY OF TENNESSEE, 1983B.A.,
CHRISTOPHER NORIO AVERY|HARVARD KENNEDY SCHOOL| ADMISSIONS GAME, COAUTHORED| ADMISSIONS GAME, COAUTHORED
CHRISTOPHER PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 1984| UNIVERSITY, 1984
CHUCK RUSSO|INDIANA UNIVERSITY O'NEILL SCHOOL| ENGINEERING,| ENGINEERING,
CLAUDIA N. AVELLANEDA|INDIANA UNIVERSITY O'NEILL SCHOOL| SCIENCE, TEXAS A&M| SCIENCE, TEXAS A&M
CLAYTON NUNES|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CLINTON OSTER, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL| CARNEGIE-MELLON UNIVERSITY, 1973B.S.E.,| CARNEGIE-MELLON UNIVERSITY, 1973B.S.E.,
COADY WING|INDIANA UNIVERSITY O'NEILL SCHOOL| COLLEGE OF PUBLIC AFFAIRS,| COLLEGE OF PUBLIC AFFAIRS,
CORINNE PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL| PRESENTY500 GRAPHIC DESIGN FOR ARTS ADMINISTRATION, 2012 –| PRESENTY500 GRAPHIC DESIGN FOR ARTS ADMINISTRATION, 2012 –
CRAIG JOHNSON|INDIANA UNIVERSITY O'NEILL SCHOOL| DISTINCTION NO. 1 CLASS RANKING), SAN JOSE STATE UNIVERSITY, 1984A.A.,| YORK AT ALBANY, 1987B.A.,
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL| HEALTH AND PREVENTION,| HEALTH AND PREVENTION,
DAISY CRUZ|HARRIS SCHOOL OF PUBLIC POLICY| AFFAIRS TEAM. IN| AFFAIRS TEAM. IN
DAMON JONES|HARRIS SCHOOL OF PUBLIC POLICY| INCLUDE INEQUALITY,| INCLUDE INEQUALITY,
DAN BLACK|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY.| PURDUE UNIVERSITY.
DAN JUDY|HARRIS SCHOOL OF PUBLIC POLICY| OF WASHINGTON’S| RAINIER (14,410
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY| IN ILLINOIS| IN ILLINOIS
DANIEL MOSKOWITZ|HARRIS SCHOOL OF PUBLIC POLICY| POLARIZATION, THE U.S.| POLARIZATION, THE U.S.
DANIELLE DUMERER|HARRIS SCHOOL OF PUBLIC POLICY| TOP 25 DOERS, DREAMERS, AND DRIVERS.|ICAGO CHAPTER,
DAVE SCHABES|HARRIS SCHOOL OF PUBLIC POLICY| MANAGEMENT. | FROM 2000 THROUGH 2004. 
DAVE STONE|HARRIS SCHOOL OF PUBLIC POLICY| POLICY’S| POLICY’S ALREADY STRONG REPUTATION.
DAVID CHRISINGER|HARRIS SCHOOL OF PUBLIC POLICY| CONGRESS.| LIFE’S TOUGHEST BATTLES.
DAVID MELTZER|HARRIS SCHOOL OF PUBLIC POLICY| EXAMINING U.S.| PEOPLE 2020,
DAVID ORR|HARRIS SCHOOL OF PUBLIC POLICY| FOR YEARS,| FOR YEARS,
DEBRA GAY|HARRIS SCHOOL OF PUBLIC POLICY| HR (INCLUDING| HR (INCLUDING
DEREK RURY|HARRIS SCHOOL OF PUBLIC POLICY| BIP LAB”.| BIP LAB”.
DEREK WU|HARRIS SCHOOL OF PUBLIC POLICY| UNIVERSITY'S SCHOOL OF PUBLIC AND INTERNATIONAL AFFAIRS.| UNIVERSITY'S SCHOOL OF PUBLIC AND INTERNATIONAL AFFAIRS.
DEVON REBER DREHMER|HARRIS SCHOOL OF PUBLIC POLICY| IS KNOWN AT THE “MOTHER” OF SOCIAL WORK.| THE “MOTHER” OF SOCIAL WORK.
DMITRI KOUSTAS|HARRIS SCHOOL OF PUBLIC POLICY| IN 2018.| IN 2018.
DON COURSEY|HARRIS SCHOOL OF PUBLIC POLICY| POOR,| IN 1989
DONITA COOK|HARRIS SCHOOL OF PUBLIC POLICY|ITY’S| UNIVERSITY.
DONNAN STEELE|HARRIS SCHOOL OF PUBLIC POLICY| A LECTURER| A LECTURER
DOROTHY PARSONS|HARRIS SCHOOL OF PUBLIC POLICY| PLAYERS.| COLLEGE. DOROTHY HOLDS A B.A.
DRAE LAWS|HARRIS SCHOOL OF PUBLIC POLICY| WORK. HE HAS A B.S.| PROGRAM (STAMP).
DAN  MELNICK|INDIANA UNIVERSITY O'NEILL SCHOOL| OF ETHNOLOGY AND FOLKORE,| OF ETHNOLOGY AND FOLKORE,
DAN FLYNN|INDIANA UNIVERSITY O'NEILL SCHOOL|JD, (CUM|JD, (CUM
DAN GRIFFITH|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY ROBERT H.| NEGOTIATION AND
DANIEL BEVERLY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DANIEL COLE|INDIANA UNIVERSITY O'NEILL SCHOOL| SCHOOL, 1991J.D.,| SCHOOL, 1991J.D.,
DANIEL GRUNDMANN|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, 2015B.A.,| UNIVERSITY, 2015B.A.,
DANIEL PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICY IN CUBA - A COMPARATIVE STUDYPOLICY-MAKING| POLICY IN CUBA - A COMPARATIVE STUDYPOLICY-MAKING
DANIEL SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICIESMICROECONOMICS AND| POLICIESMICROECONOMICS AND
DANIELLE ALLEN|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
DARIO SALCEDO MONROY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVE O’GUINN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID  KONISKY|INDIANA UNIVERSITY O'NEILL SCHOOL| 2006M.E.M AND M.A., YALE UNIVERSITY, 1998A.B,| 2006M.E.M AND M.A., YALE UNIVERSITY, 1998A.B,
DAVID ARCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID AUDRETSCH|INDIANA UNIVERSITY O'NEILL SCHOOL| WISCONSIN, 1980M.S., ECONOMICS, UNIVERSITY OF WISCONSIN, 1979B.A.,| WISCONSIN, 1979B.A.,
DAVID BELL|INDIANA UNIVERSITY O'NEILL SCHOOL| PITTSBURGHMPA, UNIVERSITY OF PITTSBURGHB.S.,| PITTSBURGHMPA, UNIVERSITY OF PITTSBURGHB.S.,
DAVID F. PARKHURST|INDIANA UNIVERSITY O'NEILL SCHOOL| 1970M.S., UNIVERSITY OF WISCONSIN-MADISON, 1968B.S.,| 1970M.S., UNIVERSITY OF WISCONSIN-MADISON, 1968B.S.,
DAVID G. EHRLICH|INDIANA UNIVERSITY O'NEILL SCHOOL| POLICY, GEORGETOWN UNIVERSITY, 1989A.B. (WITH DISTINCTION),| POLICY, GEORGETOWN UNIVERSITY, 1989A.B. (WITH DISTINCTION),
DAVID GOOD|INDIANA UNIVERSITY O'NEILL SCHOOL| COLLEGE, 1977B.A.,| PENNSYLVANIA, 1985M.A., BOSTON COLLEGE, 1977B.A.,
DAVID GREGOIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID HENRY|INDIANA UNIVERSITY O'NEILL SCHOOL| PRACTICEV275 INTRODUCTION TO EMERGENCY MANAGEMENTV499 HONORS THESIS (ADVISOR)| PRACTICEV275 INTRODUCTION TO EMERGENCY MANAGEMENTV499 HONORS THESIS (ADVISOR)
DAWNE DIORIO|INDIANA UNIVERSITY O'NEILL SCHOOL| H322 PRINCIPLES OF EPIDEMIOLOGY,| H322 PRINCIPLES OF EPIDEMIOLOGY,
DEANNA MALATESTA|INDIANA UNIVERSITY O'NEILL SCHOOL| ADMINISTRATION,| ADMINISTRATION,
DENNIS  CROMWELL|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITYB.S.| UNIVERSITYB.S.
DENVIL DUNCAN|INDIANA UNIVERSITY O'NEILL SCHOOL| THE WEST INDIES, MONA, 2003B.SC.,| THE WEST INDIES, MONA, 2003B.SC.,
DESMOND ANG|HARVARD KENNEDY SCHOOL| OF RACIAL DISCRIMINATION AND HAS BEEN PUBLISHED IN| OF RACIAL DISCRIMINATION AND HAS BEEN PUBLISHED IN
DEVIN JUDGE-LORD|FORD SCHOOL OF PUBLIC POLICY| POLICYMAKING,| POLICYMAKING,
DIANE S. HENSHEL|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY, PROVIDENCE R.I., 1978CAPSTONE| UNIVERSITY, PROVIDENCE R.I., 1978CAPSTONE
DOUGLAS BOOHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
EDUARDO MONTERO|HARRIS SCHOOL OF PUBLIC POLICY| IN 2018.| IN 2018.
ELAINA MACK|HARRIS SCHOOL OF PUBLIC POLICY|ELAINA IS THE| STUDENTS.  IN
