name|faculty_of|has_phd_info|phd_where
ASHLEY MAYER|HARRIS SCHOOL OF PUBLIC POLICY|ALUMNI CAREER OFFICE|UCHICAGO
AUSTIN WRIGHT|HARRIS SCHOOL OF PUBLIC POLICY|2017|HE RECEIVED HIS BA AND BS
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL|2009B.G.S|FLORIDA STATE UNIVERSITY
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PITTSBURGH|UNIVERSITY OF PITTSBURGH
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL|EXETERM.B.A., HERIOT-WATT UNIVERSITY|UNIVERSITY OF EXETER
ADRIAN STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|2014BA IN RELIGION, WABASH COLLEGE, 2007|WABASH COLLEGE, 2007
ADRIENNE HARRIS|FORD SCHOOL OF PUBLIC POLICY|HARRIS|FORD SCHOOL
ALAN  WALSH|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITYB.A. RELIGIOUS STUDIES, INDIANA UNIVERSITY|INDIANA UNIVERSITYB
ALAN ALTSHULER|HARVARD KENNEDY SCHOOL|ALAN A. ALTSHULER|UNIVERSITY OF CHICAGO
ALBERTO  ORTEGA|INDIANA UNIVERSITY O'NEILL SCHOOL|2017M.A|UNIVERSITY OF FLORIDA
ALEXANDER  ALEXEEV|INDIANA UNIVERSITY O'NEILL SCHOOL|2003PH.D. PHYSICS|INDIANA UNIVERSITY
ALLISON YOUATT SCHNABLE|INDIANA UNIVERSITY O'NEILL SCHOOL|PRINCETON UNIVERSITY|PRINCETON UNIVERSITY
AMANDA RUTHERFORD|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF OKLAHOMAMANAGEMENT|TEXAS A&M UNIVERSITYMPA
AMANDA SCHERER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
AMY HARRIS|FORD SCHOOL OF PUBLIC POLICY|AMY HARRIS|UNIVERSITY OF WASHINGTON
AMY M.  STARK|INDIANA UNIVERSITY O'NEILL SCHOOL|NONPROFIT MANAGEMENT|INDIANA UNIVERSITY
AMY OSAJIMA|INDIANA UNIVERSITY O'NEILL SCHOOL|1990|UC IRVINE
ANDREA NEED|INDIANA UNIVERSITY O'NEILL SCHOOL|MAGNA CUM LAUDE|INDIANA UNIVERSITY
ANDRÉ FRANCO|INDIANA UNIVERSITY O'NEILL SCHOOL|2015MS|UNIVERSITY OF SÃO PAULO
ANH NGOC TRAN|INDIANA UNIVERSITY O'NEILL SCHOOL|2009MASTER|HARVARD UNIVERSITY
ANNIE HSU|INDIANA UNIVERSITY O'NEILL SCHOOL|NATIONAL CHENG CHI UNIVERSITY|NATIONAL CHENG CHI UNIVERSITY
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL|ACCOUNTINGGOVERNMENT FINANCE ACCOUNTING & REPORTING|INDIANA UNIVERSITY - SOUTH BEND
ANTUNG ANTHONY LIU|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF CALIFORNIA-SAN DIEGO|UNIVERSITY OF CALIFORNIA-SAN DIEGO
APRIL GRUDI|INDIANA UNIVERSITY O'NEILL SCHOOL|2008B.A., SOCIOLOGY AND POLITICAL SCIENCE, MARIAN COLLEGE, 2006|EMORY UNIVERSITY
ARI  SOLOTOFF|INDIANA UNIVERSITY O'NEILL SCHOOL|2015BA, UNIVERSITY OF CALIFORNIA, BERKELEY, 2002|SCHOOL OF LAW, 2015BA, UNIVERSITY OF CALIFORNIA, BERKELEY
ARTHUR APPLBAUM|HARVARD KENNEDY SCHOOL|JERUSALEM|JERUSALEM
ASHLEY CLARK|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MARYLAND|UNIVERSITY OF MARYLAND
ASHLYN AIKO NELSON|INDIANA UNIVERSITY O'NEILL SCHOOL|ECONOMICS OF EDUCATION, STANFORD UNIVERSITY|STANFORD UNIVERSITY
AVRAM  G. PRIMACK|INDIANA UNIVERSITY O'NEILL SCHOOL|ENVIRONMENTAL SCIENCE|INDIANA UNIVERSITY
BARBARA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY|BARBARA|NORTHWESTERN UNIVERSITY
BERENICE BARREIRO|HARRIS SCHOOL OF PUBLIC POLICY|SOME OF HER STRENGTHS|FROM START TO FINISH
BEVIS PARDEE|HARRIS SCHOOL OF PUBLIC POLICY|BEVIS BEGAN HIS CAREER AT NORC|DATABASE DESIGN AND MANAGEMENT
BILLY MORGAN|HARRIS SCHOOL OF PUBLIC POLICY|HAS ALSO DABBLED IN SET DESIGN|UNIVERSITY OF CHICAGO
BLAKE EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY|BICYCLIST|2008
BRANDON KURZWEG|HARRIS SCHOOL OF PUBLIC POLICY|BRANDON|NORTH CENTRAL COLLEGE
BRIAN FABES|HARRIS SCHOOL OF PUBLIC POLICY|15 YEARS|15 YEARS
BROOKE FOX|HARRIS SCHOOL OF PUBLIC POLICY|SHE HAS BEEN A BUSINESS|NEW YORK CITY
BRUCE D. MEYER|HARRIS SCHOOL OF PUBLIC POLICY|DISABILITY ASSISTANCE|A MEMBER OF THE INSTITUTE
BAILEY ANSTEAD|INDIANA UNIVERSITY O'NEILL SCHOOL|2019|INDIANA UNIVERSITY
BARRY M. RUBIN|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
BEN INSKEEP|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BETH  GAZLEY|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF GEORGIA|UNIVERSITY OF GEORGIA
BETH CATE|INDIANA UNIVERSITY O'NEILL SCHOOL|(CUM LAUDE|HARVARD LAW SCHOOL
BETH CHIMERA|FORD SCHOOL OF PUBLIC POLICY|"FIRST-YEAR GRADUATE COURSE AND THE ""PERSUASIVE POLICY WRITING"|MICHIGAN
BRAD R. FULTON|INDIANA UNIVERSITY O'NEILL SCHOOL|DUKE UNIVERSITYA.M.|DUKE UNIVERSITYA.M.
BRAD SCHROEDER|INDIANA UNIVERSITY O'NEILL SCHOOL|2004B|CHICO
BRADFORD WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL|2017|TEXAS STATE UNIVERSITY
BRADLEY T. HEIM|INDIANA UNIVERSITY O'NEILL SCHOOL|ECONOMICS|NORTHWESTERN UNIVERSITY
BRIAN A. JACOB|FORD SCHOOL OF PUBLIC POLICY|45-74|CHICAGO
BRIAN DELONG|INDIANA UNIVERSITY O'NEILL SCHOOL|WAKE FOREST UNIVERSITY|WAKE FOREST UNIVERSITY
BRIAN PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BRIAN RICHARDSON JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|2011M652|SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE
BRIAN RICHWINE|INDIANA UNIVERSITY O'NEILL SCHOOL|1991|FLINT, MICHIGAN
BRIAN VOLSKY|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD LAW SCHOOL|HARVARD LAW SCHOOL
BURNELL FISCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|PURDUE UNIVERSITY|PURDUE UNIVERSITY
C. KURT ZORN|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
CARLOS FERNANDEZ VALDOVINOS|HARRIS SCHOOL OF PUBLIC POLICY|1999|ARGENTINA
CAROL BROWN|HARRIS SCHOOL OF PUBLIC POLICY|SHE HOLDS A J.D|CAPACITIES
CAROLIN PFLUEGER|HARRIS SCHOOL OF PUBLIC POLICY|HIGH INFLATION RECESSIONS|FINANCIAL MARKETS
CAROLINE JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY|UNDERGRADUATE STUDENTS|MBA PROGRAM
CAROLINE SELBY|HARRIS SCHOOL OF PUBLIC POLICY|YEARS OF EXPERIENCE|DC
CAROLYN SLOANE|HARRIS SCHOOL OF PUBLIC POLICY|DR|US
CAT JACOB|HARRIS SCHOOL OF PUBLIC POLICY|HER OTHER DUTIES|NORTHWESTERN
CATHERINE COHEN|HARRIS SCHOOL OF PUBLIC POLICY|CATHERINE HOLDS A B.A.|CATHERINE
CATINA LATHAM|HARRIS SCHOOL OF PUBLIC POLICY|DR. LATHAM|2019
CHAD BROUGHTON|HARRIS SCHOOL OF PUBLIC POLICY|12-YEAR|2015
CHASSE REHWINKEL|HARRIS SCHOOL OF PUBLIC POLICY|MR. REHWINKEL SERVES|MR. REHWINKEL
CHENHAO TAN|HARRIS SCHOOL OF PUBLIC POLICY|HERE IS MY CV|UNIVERSITY OF CHICAGO
CHRIS CLAPP|HARRIS SCHOOL OF PUBLIC POLICY|I|DC
CHRISTINA XU|HARRIS SCHOOL OF PUBLIC POLICY|CHRISTINA|UNIVERSITY OF CHICAGO
CHRISTOPHER BERRY|HARRIS SCHOOL OF PUBLIC POLICY|MANY OTHER OUTLETS|MANY OTHER OUTLETS
CHRISTOPHER BLATTMAN|HARRIS SCHOOL OF PUBLIC POLICY|YALE UNIVERSITY|COLUMBIA
CLAIRE PALANDRI|HARRIS SCHOOL OF PUBLIC POLICY|SHE EARNED HER M.SC|COLUMBIA
CLAYTON HARRIS|HARRIS SCHOOL OF PUBLIC POLICY|CLAYTON’S BACKGROUND|UNIVERSITY OF CHICAGO
COLM O'MUIRCHEARTAIGH|HARRIS SCHOOL OF PUBLIC POLICY|UNESCO|UNESCO
CYNTHIA TAYLOR|HARRIS SCHOOL OF PUBLIC POLICY|SHE PROVIDED SUPPORT|GEMS SYSTEM
CANDACE BERTOTTI|HARVARD KENNEDY SCHOOL|CANDACE HOLDS A MASTER’S DEGREE IN PUBLIC ADMINISTRATION FROM HARVARD KENNEDY SCHOOL|INDIANA UNIVERSITY
CARLEIGH BERIONT|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
CATHERINE H. HAUSMAN|FORD SCHOOL OF PUBLIC POLICY|LEARN MORE ON HAUSMAN'S PERSONAL SITE.|PERU
CHARLES  DUNLAP|INDIANA UNIVERSITY O'NEILL SCHOOL|1996INSTITUTE|INDIANA UNIVERSITY
CHARLES BONSER|INDIANA UNIVERSITY O'NEILL SCHOOL|1965M|BOWLING GREEN STATE UNIVERSITY
CHARLES R. WISE|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHARLIE PRIDE, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|2009B.S., FINANCE, UNIVERSITY OF SOUTHERN INDIANA, 2003|UNIVERSITY OF SOUTHERN INDIANA
CHARLOTTE CAVAILLÉ|FORD SCHOOL OF PUBLIC POLICY|ASKING FOR MORE|GEORGETOWN UNIVERSITY'S SCHOOL OF FOREIGN SERVICE
CHERYL K.  HUGHES|INDIANA UNIVERSITY O'NEILL SCHOOL|HUMAN RESOURCE MANAGEMENTRECRUITMENT AND TALENT ACQUISITION|INDIANA WESLEYAN UNIVERSITY
CHRIS JACKSON|INDIANA UNIVERSITY O'NEILL SCHOOL|2010|MICHIGAN STATE UNIVERSITY
CHRIS SCHRADER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CHRIS WAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|LOUISVILLEOVERVIEW OF US HEALTHCARE - H124HEALTHCARE|LOUISVILLEOVERVIEW
CHRISTOPHER  KOHLER|INDIANA UNIVERSITY O'NEILL SCHOOL|1976E542 - HAZARDOUS MATERIALS|INDIANA UNIVERSITY
CHRISTOPHER CRAFT|INDIANA UNIVERSITY O'NEILL SCHOOL|1987M|NORTH CAROLINA STATE UNIVERSITY
CHRISTOPHER NORIO AVERY|HARVARD KENNEDY SCHOOL|2003|STANFORD BUSINESS SCHOOL
CHRISTOPHER PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|1984|INDIANA UNIVERSITY
CHUCK RUSSO|INDIANA UNIVERSITY O'NEILL SCHOOL|1982|NOTRE DAME
CLAUDIA N. AVELLANEDA|INDIANA UNIVERSITY O'NEILL SCHOOL|POLITICAL SCIENCE|TEXAS A&M UNIVERSITY
CLAYTON NUNES|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CLINTON OSTER, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|1978M.S|HARVARD UNIVERSITY
COADY WING|INDIANA UNIVERSITY O'NEILL SCHOOL|2006B.|MAXWELL SCHOOL OF CITIZENSHIP AND PUBLIC AFFAIRS, SYRACUSE UNIVERSITY
CORINNE PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|2012PARSONS|INDIANA UNIVERSITY
CRAIG JOHNSON|INDIANA UNIVERSITY O'NEILL SCHOOL|STATE UNIVERSITY OF NEW YORK AT ALBANY|STATE UNIVERSITY OF NEW YORK AT ALBANY
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|2014HEALTH POLICY|UNIVERSITY OF MINNESOTA
DAISY CRUZ|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY NORTHWEST|ADMINISTRATION
DAMON JONES|HARRIS SCHOOL OF PUBLIC POLICY|AT HARRIS, ASSOC|UNIVERSAL BASIC INCOME
DAN BLACK|HARRIS SCHOOL OF PUBLIC POLICY|HE HAS SERVED ON PANELS|MELLON UNIVERSITY
DAN JUDY|HARRIS SCHOOL OF PUBLIC POLICY|HE LIVES IN ALEXANDRIA|2009
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY|SHE ALSO HOLDS A MASTER OF ARTS|UNIVERSITY OF CHICAGO
DANIEL MOSKOWITZ|HARRIS SCHOOL OF PUBLIC POLICY|PARTIES|GRINNELL COLLEGE
DANIELLE DUMERER|HARRIS SCHOOL OF PUBLIC POLICY|INFORMATION RESOURCES|INFORMATION SECURITY
DAVE SCHABES|HARRIS SCHOOL OF PUBLIC POLICY|ASSET BACKED SECURITIES|PUBLIC POLICY
DAVE STONE|HARRIS SCHOOL OF PUBLIC POLICY|HE ALSO SUPPORTS|HE WAS KNOWN
DAVID CHRISINGER|HARRIS SCHOOL OF PUBLIC POLICY|UNCOVER AND COMMUNICATE|TOUGHEST BATTLES
DAVID MELTZER|HARRIS SCHOOL OF PUBLIC POLICY|MELTZER|2020
DAVID ORR|HARRIS SCHOOL OF PUBLIC POLICY|S|JUDGE PROGRAMS
DEBRA GAY|HARRIS SCHOOL OF PUBLIC POLICY|DEBRA LEADS HUMAN RESOURCES|NASHVILLE
DEREK RURY|HARRIS SCHOOL OF PUBLIC POLICY|STUDENTS' BELIEFS INFLUENCE|AT DAVIS IN 2021
DEREK WU|HARRIS SCHOOL OF PUBLIC POLICY|HE RECEIVED AN A.B. IN 2013|HE RECEIVED AN A.B. IN 2013
DEVON REBER DREHMER|HARRIS SCHOOL OF PUBLIC POLICY|YOGA EXPLORING CHICAGO|YOGA EXPLORING CHICAGO
DMITRI KOUSTAS|HARRIS SCHOOL OF PUBLIC POLICY|2018|BERKELEY IN 2018
DON COURSEY|HARRIS SCHOOL OF PUBLIC POLICY|1990|1998
DONITA COOK|HARRIS SCHOOL OF PUBLIC POLICY|HER MAIN PRIORITIES|STRAYER UNIVERSITY
DONNAN STEELE|HARRIS SCHOOL OF PUBLIC POLICY|COMPUTER SCIENCE|DONNAN
DOROTHY PARSONS|HARRIS SCHOOL OF PUBLIC POLICY|DOROTHY HOLDS A B.A.|UNIVERSITY OF CHICAGO
DRAE LAWS|HARRIS SCHOOL OF PUBLIC POLICY|HE STUDIES CLINICAL|UNIVERSITY OF CHICAGO
DAN  MELNICK|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF ABERDEENBA|UNIVERSITY OF ABERDEENBA, ENGLISH AND COMMUNICATION, LOYOLA UNIVERSITY, CHICAGO
DAN FLYNN|INDIANA UNIVERSITY O'NEILL SCHOOL|2004B|ILLINOIS WESLEYAN UNIVERSITY
DAN GRIFFITH|INDIANA UNIVERSITY O'NEILL SCHOOL|1983M547 NEGOTIATION AND DISPUTE RESOLUTION|INDIANA UNIVERSITY
DANIEL BEVERLY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DANIEL COLE|INDIANA UNIVERSITY O'NEILL SCHOOL|1980CLIMATE|NORTHWESTERN SCHOOL OF LAW, 1986A.M., UNIVERSITY OF CHICAGO
DANIEL GRUNDMANN|INDIANA UNIVERSITY O'NEILL SCHOOL|2015B.A., INDIANA UNIVERSITY, 1987COMPENSATION|WESTERN GOVERNORS UNIVERSITY
DANIEL PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|TUFTS UNIVERSITYB|THE FLETCHER SCHOOL OF LAW AND DIPLOMACY, TUFTS UNIVERSITYB
DANIEL SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MARYLAND|UNIVERSITY OF MARYLAND
DANIELLE ALLEN|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
DARIO SALCEDO MONROY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVE O’GUINN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID  KONISKY|INDIANA UNIVERSITY O'NEILL SCHOOL|2006M.E.M AND M.A., YALE UNIVERSITY|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
DAVID ARCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID AUDRETSCH|INDIANA UNIVERSITY O'NEILL SCHOOL|ECONOMICS|UNIVERSITY OF WISCONSIN
DAVID BELL|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PITTSBURGHMPA|UNIVERSITY OF PITTSBURGHMPA
DAVID F. PARKHURST|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
DAVID G. EHRLICH|INDIANA UNIVERSITY O'NEILL SCHOOL|2004M.P.P., PUBLIC POLICY, GEORGETOWN UNIVERSITY|WAYNE STATE UNIVERSITY
DAVID GOOD|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PENNSYLVANIA|UNIVERSITY OF PENNSYLVANIA
DAVID GREGOIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID HENRY|INDIANA UNIVERSITY O'NEILL SCHOOL|2002V425/V550/H455|INDIANA UNIVERSITY-BLOOMINGTON
DAWNE DIORIO|INDIANA UNIVERSITY O'NEILL SCHOOL|MAINESPEA H549|UNIVERSITY OF SOUTHERN MAINESPEA
DEANNA MALATESTA|INDIANA UNIVERSITY O'NEILL SCHOOL|2007M|UNIVERSITY OF GEORGIA
DENNIS  CROMWELL|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITYB.S. IN MATHEMATICS, INDIANA UNIVERSITY|INDIANA UNIVERSITYB.S. IN MATHEMATICS, INDIANA UNIVERSITY
DENVIL DUNCAN|INDIANA UNIVERSITY O'NEILL SCHOOL|2010M.SC|GEORGIA STATE UNIVERSITY
DESMOND ANG|HARVARD KENNEDY SCHOOL|HIS RESEARCH WEBSITE CAN BE FOUND HERE.|UNIVERSITY OF CALIFORNIA, SAN DIEGO
DEVIN JUDGE-LORD|FORD SCHOOL OF PUBLIC POLICY|LEARN MORE ON HIS PERSONAL SITE|"YALE UNIVERSITY
BA IN POLITICAL SCIENCE, REED COLLEGE"
DIANE S. HENSHEL|INDIANA UNIVERSITY O'NEILL SCHOOL|BIOMEDICAL SCIENCES-NEUROSCIENCE|WASHINGTON UNIVERSITY
DOUGLAS BOOHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
EDUARDO MONTERO|HARRIS SCHOOL OF PUBLIC POLICY|HE|2018
ELAINA MACK|HARRIS SCHOOL OF PUBLIC POLICY|PART-TIME MBA STUDENTS|CHICAGO
EMILY MAGILL|HARRIS SCHOOL OF PUBLIC POLICY|YOGA TEACHER TRAINING|THE OHIO STATE UNIVERSITY
ERIC STELTENPOHL|HARRIS SCHOOL OF PUBLIC POLICY|ASSETS INCLUDING THE WEBSITE|ERIC MANAGES HARRIS
ERIC THOMAS|HARRIS SCHOOL OF PUBLIC POLICY|ERIC GRADUATED|CAMERA CLERK AT WALGREENS
ERIN HOFFMAN|HARRIS SCHOOL OF PUBLIC POLICY|SPANISH STUDIES|AMERICA
ERIN KEANE SCOTT|HARRIS SCHOOL OF PUBLIC POLICY|WASHINGTONIAN MAGAZINE|WASHINGTONIAN MAGAZINE
ETHAN BUENO DE MESQUITA|HARRIS SCHOOL OF PUBLIC POLICY|AB’96|96
ETHAN RUCKER|HARRIS SCHOOL OF PUBLIC POLICY|HE WORKED FOR SEVERAL YEARS|MARIAN UNIVERSITY
EYAL FRANK|HARRIS SCHOOL OF PUBLIC POLICY|HE RECEIVED HIS PH.D|HE RECEIVED HIS PH.D
EDWARDO L. RHODES|INDIANA UNIVERSITY O'NEILL SCHOOL|CARNEGIE-MELLON UNIVERSITY|CARNEGIE-MELLON UNIVERSITY
ELI Z. BARATZ|INDIANA UNIVERSITY O'NEILL SCHOOL|2018B|INDIANA UNIVERSITY
ELISABETH R. GERBER|FORD SCHOOL OF PUBLIC POLICY|HIGH HONORS AND HIGH DISTINCTION|FORD SCHOOL
EMILY DERRINGER MEE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ERIC  SWANK|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ESTIMATING THE DISTASTE FOR PRICE GOUGING WITH INCENTIVIZED CONSUMER REPORTS|FORD SCHOOL OF PUBLIC POLICY|LEARN MORE AT HIS PERSONAL WEBSITE|DEPAUL UNIVERSITY
EUGENE MCGREGOR, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
EUIPYO LEE|INDIANA UNIVERSITY O'NEILL SCHOOL|2019|INDIANA UNIVERSITY
FAITHE TATUM|HARRIS SCHOOL OF PUBLIC POLICY|DATABASE MANAGEMENT|DATABASE MANAGEMENT
FIONA BURLIG|HARRIS SCHOOL OF PUBLIC POLICY|SHE HOLDS A PHD IN AGRICULTURAL|UNIVERSITY OF CHICAGO
FRANK J. VILARDO|INDIANA UNIVERSITY O'NEILL SCHOOL|1962HEALTH CARE MANAGEMENT AND POLICYHEALTH MANAGEMENT ETHICS|XAVIER UNIVERSITY
FRANK LEWIS|INDIANA UNIVERSITY O'NEILL SCHOOL|1981B|THE UNIVERSITY OF CHICAGO
GERARDO ESPINAL FRANCO|HARRIS SCHOOL OF PUBLIC POLICY|YES|NORTH CAROLINA
GRACE HAMMOND|HARRIS SCHOOL OF PUBLIC POLICY|SHE WILL SOON EARN HER MBA|UNIVERSITY OF CHICAGO
GREGORY LANE|HARRIS SCHOOL OF PUBLIC POLICY|HE IS A DEVELOPMENT ECONOMIST|UNIVERSITY OF CHICAGO
GUILLAUME POULIOT|HARRIS SCHOOL OF PUBLIC POLICY|NONSTANDARD PROBLEMS|UNIVERSITY OF CHICAGO
GABRIELLE GOODWIN|INDIANA UNIVERSITY O'NEILL SCHOOL|2010M.A. LINGUISTICS|CHICAGO-KENT COLLEGE OF LAW
GARTH LINDNER|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MARYLAND, BALTIMORE COUNTY|UNIVERSITY OF MARYLAND
GARY BRANHAM|INDIANA UNIVERSITY O'NEILL SCHOOL|2015B.S.|PEPPERDINE UNIVERSITY SCHOOL OF LAW; MALIBU, CALIFORNIA
GARY HIEFTJE|INDIANA UNIVERSITY O'NEILL SCHOOL|1969A.B., HOPE COLLEGE, MICHIGAN, 1964|UNIVERSITY OF ILLINOIS
GLEN SALMON|INDIANA UNIVERSITY O'NEILL SCHOOL|1986 A.A.S., CAPE FEAR COMMUNITY COLLEGE|CAPE FEAR COMMUNITY COLLEGE
GLORIA AYEE|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
GRAHAM ALLISON|HARVARD KENNEDY SCHOOL|IAEA’S COMMISSION OF EMINENT PERSONS|HARVARD UNIVERSITY
GRAHAM MCKEEN|INDIANA UNIVERSITY O'NEILL SCHOOL|2005|INDIANA UNIVERSITYB.S., ENVIRONMENTAL MANAGEMENT, INDIANA UNIVERSITY, SPEA
