name|faculty_of|model_name|has_phd_info|phd_where
AMY E. LERMAN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|THIS CONTEXT DOES NOT MENTION ANYTHING ABOUT WHERE THE PERSON RECEIVED THEIR PH.D. PROGRAM, SO I CANNOT ANSWER THIS QUESTION FROM THE PROVIDED CONTEXT.
AMY FLANAGAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
AMY HARRIS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF WASHINGTON
AMY M.  STARK|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
AMY OSAJIMA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
AMY SLATER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANA ARELLANO JIMENEZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANDERS JENSEN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|LONDON SCHOOL OF ECONOMICS
ANDREA NEED|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ANDREW DAWSON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANDREW MARCH|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ANDREW REDDIE|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
ANDRÉ FRANCO|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF SÃO PAULO
ANDRÉS BARROSO CHAVEZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANGELA GLOVER BLACKWELL|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANGELA NICOLOFF|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANGELA RILEY|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ANH NGOC TRAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
ANI GATZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANIBEL FERUS-COMELO|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANJALI ADUKIA|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
ANN CHIH LIN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
ANNA MEDEARIS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANNETTE BROWN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
ANNIE HSU|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF HOUSTON
ANNIE TAYLOR|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANTHONY FOWLER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ANTHONY FOXX|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ANTHONY SAICH|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF LEIDEN
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|INDIANA UNIVERSITY
ANTUNG ANTHONY LIU|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA-SAN DIEGO
APRIL GRUDI|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ARCHON FUNG|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MIT
ARDUINO TOMASI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|LONDON SCHOOL OF ECONOMICS
AREAS OF EXPERTISE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
AREMU MBANDE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF ILLINOIS AT CHICAGO
ARI  SOLOTOFF|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ARIEL KALIL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
ARNE DUNCAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ARNOLD HOWITT|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
ARTHUR APPLBAUM|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
ARTHUR BROOKS|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|RAND GRADUATE SCHOOL
ARTHUR REINGOLD|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ARUN AGRAWAL|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|DUKE UNIVERSITY
ASHLEY CLARK|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
ASHLEY MAYER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
ASHLYN AIKO NELSON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|STANFORD UNIVERSITY
ASIM KHWAJA|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD
ATTIA QURESHI|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
AUSTIN BOGUES|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
AUSTIN WRIGHT|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|PRINCETON UNIVERSITY
AVI FELLER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
AVRAM  G. PRIMACK|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
AYUSHI ROY|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
BAILEY ANSTEAD|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BARBARA HAYA|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
BARBARA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BARRY M. RUBIN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF WISCONSIN-MADISON
BARRY RABE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
BEN GREEN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
BEN INSKEEP|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BENJAMIN SCHNEER|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY_NAME: HARVARD UNIVERSITY
BERENICE BARREIRO|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BETH  GAZLEY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|UNIVERSITY OF GEORGIA
BETH CATE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BETH CHIMERA|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BETHANY N. MORRISON|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|EMORY UNIVERSITY
BETSEY STEVENSON|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
BEVIS PARDEE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BILL DE BLASIO|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BILLY MORGAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BLAKE EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BOB SCHOENI|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF MICHIGAN
BOBBY CONSTANTINO|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
BRAD R. FULTON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|DUKE UNIVERSITY
BRAD SCHROEDER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BRADFORD WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BRADLEY T. HEIM|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|NORTHWESTERN UNIVERSITY
BRANDIE NONNECKE|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|PENNSYLVANIA STATE UNIVERSITY
BRANDON KURZWEG|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BRENT COPEN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BRIAN A. JACOB|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
BRIAN DELONG|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BRIAN FABES|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BRIAN FLANAGAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BRIAN IAMMARTINO|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
BRIAN MANDELL|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|UNIVERSITY OF TORONTO
BRIAN MCCALL|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|PRINCETON UNIVERSITY
BRIAN PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BRIAN RICHARDSON JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BRIAN RICHWINE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BRIAN VOLSKY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
BRITTANY BUTLER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
BROOKE FOX|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
BRUCE D. MEYER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
BRUCE SCHNEIER|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
BURNELL FISCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|PURDUE UNIVERSITY
C. KURT ZORN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|SYRACUSE UNIVERSITY
CAITLIN PATLER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CANDACE BERTOTTI|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CANDACE HAMILTON-HESTER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CARL SIMON|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NORTHWESTERN UNIVERSITY
CARLEIGH BERIONT|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CARLOS FERNANDEZ VALDOVINOS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO
CARMEN REINHART|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CAROL BROWN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CAROLIN PFLUEGER|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CAROLINE JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CAROLINE SELBY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CAROLYN SLOANE|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY
CASS SUNSTEIN|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CAT JACOB|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CAT OWSIK|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF VIRGINIA
CATHERINE COHEN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CATHERINE H. HAUSMAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
CATINA LATHAM|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|GEORGE WASHINGTON UNIVERSITY
CECILIA HYUNJUNG MO|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CELESTE WATKINS-HAYES|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
CELESTIN MONGA|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CHAD BROUGHTON|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CHARLES  DUNLAP|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHARLES BONSER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHARLES R. SHIPAN|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|STANFORD UNIVERSITY
CHARLES R. WISE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|INDIANA UNIVERSITY
CHARLES TAYLOR|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|COLUMBIA UNIVERSITY
CHARLIE PRIDE, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHARLOTTE CAVAILLÉ|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
CHASSE REHWINKEL|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CHENHAO TAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CHERYL K.  HUGHES|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHRIS CLAPP|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF VIRGINIA
CHRIS JACKSON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHRIS SCHRADER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHRIS WAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHRIS WEARE|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|GOLDMAN SCHOOL
CHRISTIAN DAVENPORT|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CHRISTINA WEILAND|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|HARVARD UNIVERSITY
CHRISTINA XU|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CHRISTOPHER  KOHLER|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHRISTOPHER BERRY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CHRISTOPHER BLATTMAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA AT BERKELEY
CHRISTOPHER CRAFT|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|NORTH CAROLINA STATE UNIVERSITY
CHRISTOPHER HERBERT|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
CHRISTOPHER JENCKS|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CHRISTOPHER NORIO AVERY|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|STANFORD BUSINESS SCHOOL
CHRISTOPHER PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CHRISTOPHER ROBICHAUD|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
CHRISTOPHER WINSHIP|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CHUCK RUSSO|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CLAIRE MONTIALOUX|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|CREST
CLAIRE PALANDRI|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|COLUMBIA UNIVERSITY
CLAUDIA N. AVELLANEDA|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|TEXAS A&M UNIVERSITY
CLAYTON HARRIS|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CLAYTON NUNES|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CLINTON OSTER, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|HARVARD UNIVERSITY
COADY WING|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|MAXWELL SCHOOL OF CITIZENSHIP AND PUBLIC AFFAIRS, SYRACUSE UNIVERSITY
COLM O'MUIRCHEARTAIGH|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
CORINNE PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
CORNELL WILLIAM BROOKS|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
CRAIG JOHNSON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|STATE UNIVERSITY OF NEW YORK AT ALBANY
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|YES|PHD, HEALTH SERVICES RESEARCH, POLICY, AND ADMINISTRATION, UNIVERSITY OF MINNESOTA
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|UNIVERSITY OF MINNESOTA
CYNTHIA TAYLOR|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAISY CRUZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAMON JONES|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAN  MELNICK|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAN BLACK|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|PURDUE UNIVERSITY
DAN FLYNN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAN GRIFFITH|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DAN JUDY|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DAN LEVY|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|NORTHWESTERN UNIVERSITY
DAN LINDHEIM|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|UNIVERSITY OF CALIFORNIA, BERKELEY
DANA BORN|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|PENN STATE UNIVERSITY
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|NONE
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DANI RODRIK|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DANIEL BEVERLY|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DANIEL COLE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DANIEL FARBER|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DANIEL GRUNDMANN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DANIEL J. ACLAND|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|THE PROVIDED CONTEXT DOES NOT CONTAIN ANY INFORMATION ABOUT WHERE THE PERSON RECEIVED THEIR PH.D. PROGRAM.
DANIEL KAMMEN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
DANIEL LITTLE|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
DANIEL MOSKOWITZ|HARRIS SCHOOL OF PUBLIC POLICY|GEMINI PRO|YES|HARVARD UNIVERSITY
DANIEL MULHERN|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DANIEL PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|GEMINI PRO|NO|NONE
DANIEL RAIMI|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DANIEL SARGENT|GOLDMAN SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
DANIEL SCHNEIDER|HARVARD KENNEDY SCHOOL|GEMINI PRO|YES|PRINCETON UNIVERSITY
DANIEL SCHRAG|HARVARD KENNEDY SCHOOL|GEMINI PRO|NO|NONE
DANIEL SHIELDS|FORD SCHOOL OF PUBLIC POLICY|GEMINI PRO|NO|NONE
