name|faculty_of|has_phd_info|phd_where
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL|FLORIDA STATE UNIVERSITY|FLORIDA STATE UNIVERSITY
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PITTSBURGH|UNIVERSITY OF PITTSBURGH
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF EXETER|UNIVERSITY OF EXETER, ENGLANDCERTIFICATE
ADRIAN STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|WABASH COLLEGE|WABASH COLLEGE
ADRIENNE HARRIS|FORD SCHOOL OF PUBLIC POLICY|TOWSLEY FOUNDATION POLICYMAKER IN RESIDENCE PROGRAM|FORD SCHOOL
ALAN  WALSH|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITYB|INDIANA UNIVERSITYB
ALAN ALTSHULER|HARVARD KENNEDY SCHOOL|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
ALBERTO  ORTEGA|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF FLORIDA|UNIVERSITY OF FLORIDA
ALEXANDER  ALEXEEV|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
ALLISON YOUATT SCHNABLE|INDIANA UNIVERSITY O'NEILL SCHOOL|PRINCETON UNIVERSITY|PRINCETON UNIVERSITY
AMANDA RUTHERFORD|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF OKLAHOMAMANAGEMENT|TEXAS A&M UNIVERSITYMPA, UNIVERSITY OF OKLAHOMAB
AMANDA SCHERER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
AMY HARRIS|FORD SCHOOL OF PUBLIC POLICY|EVANS SCHOOL OF PUBLIC POLICY AND GOVERNANCE|UNIVERSITY OF WASHINGTON’S EVANS SCHOOL OF PUBLIC POLICY AND GOVERNANCE
AMY M.  STARK|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
AMY OSAJIMA|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF CALIFORNIA, IRVINE|UNIVERSITY OF CALIFORNIA, IRVINE
ANDREA NEED|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
ANDRÉ FRANCO|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSIDADE ESTADUAL DE SANTA CRUZ, 2008|UNIVERSITY OF SÃO PAULO
ANH NGOC TRAN|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD UNIVERSITY|HARVARD UNIVERSITY
ANNIE HSU|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF HOUSTONM|UNIVERSITY OF HOUSTONM
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
ANTUNG ANTHONY LIU|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF CALIFORNIA-SAN DIEGO|UNIVERSITY OF CALIFORNIA-SAN DIEGO
APRIL GRUDI|INDIANA UNIVERSITY O'NEILL SCHOOL|EMORY UNIVERSITY|EMORY UNIVERSITY
ARI  SOLOTOFF|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MAINE|UNIVERSITY OF CALIFORNIA, BERKELEY
ARTHUR APPLBAUM|HARVARD KENNEDY SCHOOL|APPLBAUM|MONTAIGNE'S LIBRARY
ASHLEY CLARK|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MARYLAND|UNIVERSITY OF MARYLAND
ASHLYN AIKO NELSON|INDIANA UNIVERSITY O'NEILL SCHOOL|STANFORD UNIVERSITY|STANFORD UNIVERSITY
AVRAM  G. PRIMACK|INDIANA UNIVERSITY O'NEILL SCHOOL|ANTIOCH COLLEGE|INDIANA UNIVERSITY
BARBARA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
BERENICE BARREIRO|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
BEVIS PARDEE|HARRIS SCHOOL OF PUBLIC POLICY|BEVIS|NORC
BILLY MORGAN|HARRIS SCHOOL OF PUBLIC POLICY|STATE AND LOCAL CAMPAIGNS|UNIVERSITY OF CHICAGO
BLAKE EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA, RIVERSIDE|BROWN UNIVERSITY
BRANDON KURZWEG|HARRIS SCHOOL OF PUBLIC POLICY|BRADLEY UNIVERSITY|NORTH CENTRAL COLLEGE
BRIAN FABES|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
BROOKE FOX|HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO|STIGLER CENTER
BRUCE D. MEYER|HARRIS SCHOOL OF PUBLIC POLICY|MASSACHUSETTS INSTITUTE OF TECHNOLOGY|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
BAILEY ANSTEAD|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
BARRY M. RUBIN|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
BEN INSKEEP|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BETH  GAZLEY|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF GEORGIA|UNIVERSITY OF GEORGIA
BETH CATE|INDIANA UNIVERSITY O'NEILL SCHOOL|GEORGE WASHINGTON UNIVERSITY|GEORGE WASHINGTON UNIVERSITY
BETH CHIMERA|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MICHIGAN|UNIVERSITY OF MICHIGAN
BRAD R. FULTON|INDIANA UNIVERSITY O'NEILL SCHOOL|DUKE UNIVERSITYA|DUKE UNIVERSITYA
BRAD SCHROEDER|INDIANA UNIVERSITY O'NEILL SCHOOL|CALIFORNIA STATE UNIVERSITY|CALIFORNIA STATE UNIVERSITY, CHICO
BRADFORD WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL|TEXAS STATE UNIVERSITY|TEXAS STATE UNIVERSITY
BRADLEY T. HEIM|INDIANA UNIVERSITY O'NEILL SCHOOL|JOHNS HOPKINS UNIVERSITY|JOHNS HOPKINS UNIVERSITY
BRIAN A. JACOB|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
BRIAN DELONG|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WYOMING|WAKE FOREST UNIVERSITY
BRIAN PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BRIAN RICHARDSON JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|CULVER-STOCKTON COLLEGE|SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE
BRIAN RICHWINE|INDIANA UNIVERSITY O'NEILL SCHOOL|KETTERING UNIVERSITY|KETTERING UNIVERSITY
BRIAN VOLSKY|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD LAW SCHOOL, 2013BA, INDIANA UNIVERSITY|HARVARD LAW SCHOOL
BURNELL FISCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|PURDUE UNIVERSITY|PURDUE UNIVERSITY
C. KURT ZORN|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
CARLOS FERNANDEZ VALDOVINOS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CAROL BROWN|HARRIS SCHOOL OF PUBLIC POLICY|OUTSIDE THE CLASSROOM|HARRIS POLICY LABS
CAROLIN PFLUEGER|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
CAROLINE JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CAROLINE SELBY|HARRIS SCHOOL OF PUBLIC POLICY|WASHINGTON, DC|WASHINGTON, DC
CAROLYN SLOANE|HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO HARRIS SCHOOL OF PUBLIC POLICY
CAT JACOB|HARRIS SCHOOL OF PUBLIC POLICY|CENTER FOR EFFECTIVE GOVERNMENT|CENTER FOR EFFECTIVE GOVERNMENT
CATHERINE COHEN|HARRIS SCHOOL OF PUBLIC POLICY|CATHERINE|HARRIS SCHOOL OF PUBLIC POLICY
CATINA LATHAM|HARRIS SCHOOL OF PUBLIC POLICY|1999|UNIVERSITY OF CHICAGO
CHAD BROUGHTON|HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO|SOCIAL SCIENCES
CHASSE REHWINKEL|HARRIS SCHOOL OF PUBLIC POLICY|THE UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CHENHAO TAN|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CHRIS CLAPP|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF VIRGINIA|UNIVERSITY OF VIRGINIA
CHRISTINA XU|HARRIS SCHOOL OF PUBLIC POLICY|URBANA-CHAMPAIGN|UNIVERSITY OF CHICAGO
CHRISTOPHER BERRY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CHRISTOPHER BLATTMAN|HARRIS SCHOOL OF PUBLIC POLICY|THE UNIVERSITY OF CALIFORNIA AT BERKELEY|UNIVERSITY OF CALIFORNIA AT BERKELEY
CLAIRE PALANDRI|HARRIS SCHOOL OF PUBLIC POLICY|COLUMBIA UNIVERSITY|COLUMBIA UNIVERSITY
CLAYTON HARRIS|HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO|CHICAGO
COLM O'MUIRCHEARTAIGH|HARRIS SCHOOL OF PUBLIC POLICY|O'MUIRCHEARTAIGH|CHICAGO HARRIS SCHOOL OF PUBLIC POLICY
CYNTHIA TAYLOR|HARRIS SCHOOL OF PUBLIC POLICY|PALO ALTO, CALIFORNIA|HARRIS PUBLIC POLICY
CANDACE BERTOTTI|HARVARD KENNEDY SCHOOL|HARVARD KENNEDY SCHOOL|HARVARD KENNEDY SCHOOL
CARLEIGH BERIONT|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
CATHERINE H. HAUSMAN|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA, BERKELEY|UNIVERSITY OF CALIFORNIA, BERKELEY
CHARLES  DUNLAP|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHARLES BONSER|INDIANA UNIVERSITY O'NEILL SCHOOL|BOWLING GREEN STATE UNIVERSITY|INDIANA UNIVERSITY
CHARLES R. WISE|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHARLIE PRIDE, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|MISSOURI STATE UNIVERSITY|MISSOURI STATE UNIVERSITY
CHARLOTTE CAVAILLÉ|FORD SCHOOL OF PUBLIC POLICY|HARVARD UNIVERSITY|HARVARD UNIVERSITY
CHERYL K.  HUGHES|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA WESLEYAN UNIVERSITY|INDIANA WESLEYAN UNIVERSITY
CHRIS JACKSON|INDIANA UNIVERSITY O'NEILL SCHOOL|MICHIGAN STATE UNIVERSITY|MICHIGAN STATE UNIVERSITY
CHRIS SCHRADER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CHRIS WAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF LOUISVILLEBA, PSYCHOLOGY AND SOCIOLOGY, UNIVERSITY OF LOUISVILLEOVERVIEW|UNIVERSITY OF LOUISVILLEBA, PSYCHOLOGY AND SOCIOLOGY, UNIVERSITY OF LOUISVILLEOVERVIEW
CHRISTOPHER  KOHLER|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHRISTOPHER CRAFT|INDIANA UNIVERSITY O'NEILL SCHOOL|NORTH CAROLINA STATE UNIVERSITY, 1987M.S., ECOLOGY, UNIVERSITY OF TENNESSEE|NORTH CAROLINA STATE UNIVERSITY
CHRISTOPHER NORIO AVERY|HARVARD KENNEDY SCHOOL|STANFORD BUSINESS SCHOOL|STANFORD BUSINESS SCHOOL
CHRISTOPHER PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHUCK RUSSO|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF NOTRE DAME|UNIVERSITY OF NOTRE DAME
CLAUDIA N. AVELLANEDA|INDIANA UNIVERSITY O'NEILL SCHOOL|TEXAS A&M UNIVERSITY|TEXAS A&M UNIVERSITY
CLAYTON NUNES|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CLINTON OSTER, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD UNIVERSITY|HARVARD UNIVERSITY
COADY WING|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
CORINNE PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CRAIG JOHNSON|INDIANA UNIVERSITY O'NEILL SCHOOL|STATE UNIVERSITY OF NEW YORK AT ALBANY|STATE UNIVERSITY OF NEW YORK AT ALBANY
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MINNESOTA|UNIVERSITY OF MINNESOTA
DAISY CRUZ|HARRIS SCHOOL OF PUBLIC POLICY| |PURDUE UNIVERSITY NORTHWEST
DAMON JONES|HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO HARRIS SCHOOL OF PUBLIC POLICY
DAN BLACK|HARRIS SCHOOL OF PUBLIC POLICY|PURDUE UNIVERSITY|PURDUE UNIVERSITY
DAN JUDY|HARRIS SCHOOL OF PUBLIC POLICY|APPALACHIAN TRAIL FROM MAINE TO GEORGIA|UNIVERSITY OF GEORGIA
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY|  |UNIVERSITY OF CHICAGO
DANIEL MOSKOWITZ|HARRIS SCHOOL OF PUBLIC POLICY|HARVARD UNIVERSITY|HARVARD UNIVERSITY
DANIELLE DUMERER|HARRIS SCHOOL OF PUBLIC POLICY|P CHICAGO CHAPTER|UNIVERSITY OF MARYLAND
DAVE SCHABES|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
DAVE STONE|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS PUBLIC POLICY|FORTUNE 5 CORPORATIONS TO NASCENT START-UPS
DAVID CHRISINGER|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF WISCONSIN-STEVENS POINT|UNIVERSITY OF WISCONSIN-STEVENS POINT
DAVID MELTZER|HARRIS SCHOOL OF PUBLIC POLICY|THE UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
DAVID ORR|HARRIS SCHOOL OF PUBLIC POLICY|ORR|CHICAGO
DEBRA GAY|HARRIS SCHOOL OF PUBLIC POLICY|"
DEBRA"|"
DEBRA"
DEREK RURY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA|UNIVERSITY OF CALIFORNIA AT DAVIS
DEREK WU|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
DEVON REBER DREHMER|HARRIS SCHOOL OF PUBLIC POLICY|BOSTON COLLEGE|BOSTON COLLEGE
DMITRI KOUSTAS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA, BERKELEY|UNIVERSITY OF CALIFORNIA, BERKELEY
DON COURSEY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF ARIZONA|UNIVERSITY OF ARIZONA
DONITA COOK|HARRIS SCHOOL OF PUBLIC POLICY|STRAYER UNIVERSITY|STRAYER UNIVERSITY
DONNAN STEELE|HARRIS SCHOOL OF PUBLIC POLICY|ILLINOIS INSTITUTE OF TECHNOLOGY|DEPARTMENT OF EARTH
DOROTHY PARSONS|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
DRAE LAWS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
DAN  MELNICK|INDIANA UNIVERSITY O'NEILL SCHOOL|LOYOLA UNIVERSITY, CHICAGO|LOYOLA UNIVERSITY, CHICAGO
DAN FLYNN|INDIANA UNIVERSITY O'NEILL SCHOOL|ILLINOIS WESLEYAN UNIVERSITY|ILLINOIS WESLEYAN UNIVERSITY
DAN GRIFFITH|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
DANIEL BEVERLY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DANIEL COLE|INDIANA UNIVERSITY O'NEILL SCHOOL|OCCIDENTAL COLLEGE|NORTHWESTERN SCHOOL OF LAW, 1986A.M., UNIVERSITY OF CHICAGO
DANIEL GRUNDMANN|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
DANIEL PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|TUFTS UNIVERSITYB|TUFTS UNIVERSITYB
DANIEL SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MARYLAND|UNIVERSITY OF MARYLAND
DANIELLE ALLEN|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
DARIO SALCEDO MONROY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVE O’GUINN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID  KONISKY|INDIANA UNIVERSITY O'NEILL SCHOOL|MASSACHUSETTS INSTITUTE OF TECHNOLOGY|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
DAVID ARCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID AUDRETSCH|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN|UNIVERSITY OF WISCONSIN
DAVID BELL|INDIANA UNIVERSITY O'NEILL SCHOOL|LANSING COMMUNITY COLLEGE|UNIVERSITY OF PITTSBURGHMPA
DAVID F. PARKHURST|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
DAVID G. EHRLICH|INDIANA UNIVERSITY O'NEILL SCHOOL|WAYNE STATE UNIVERSITY|WAYNE STATE UNIVERSITY
DAVID GOOD|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PENNSYLVANIA|UNIVERSITY OF PENNSYLVANIA
DAVID GREGOIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID HENRY|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY-BLOOMINGTON, 2005B.A., BALDWIN WALLACE UNIVERSITY|INDIANA UNIVERSITY-BLOOMINGTON, 2005B.A., BALDWIN WALLACE UNIVERSITY
DAWNE DIORIO|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITYB|INDIANA UNIVERSITYB
DEANNA MALATESTA|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF GEORGIA|UNIVERSITY OF GEORGIA
DENNIS  CROMWELL|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITYB|INDIANA UNIVERSITYB
DENVIL DUNCAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEORGIA STATE UNIVERSITY|GEORGIA STATE UNIVERSITY
DESMOND ANG|HARVARD KENNEDY SCHOOL|UNIVERSITY OF CALIFORNIA, SAN DIEGO|UNIVERSITY OF CALIFORNIA, SAN DIEGO
DEVIN JUDGE-LORD|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF WISCONSIN–MADISON|UNIVERSITY OF WISCONSIN–MADISON
DIANE S. HENSHEL|INDIANA UNIVERSITY O'NEILL SCHOOL|BROWN UNIVERSITY|WASHINGTON UNIVERSITY
DOUGLAS BOOHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
EDUARDO MONTERO|HARRIS SCHOOL OF PUBLIC POLICY|HARVARD UNIVERSITY|HARVARD UNIVERSITY
ELAINA MACK|HARRIS SCHOOL OF PUBLIC POLICY|LOYOLA'S ESL PROGRAM|LOYOLA UNIVERSITY CHICAGO
EMILY MAGILL|HARRIS SCHOOL OF PUBLIC POLICY|PEARSON INSTITUTE|PEARSON INSTITUTE
ERIC STELTENPOHL|HARRIS SCHOOL OF PUBLIC POLICY|WEBSITE.|WEBSITE.
ERIC THOMAS|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
ERIN HOFFMAN|HARRIS SCHOOL OF PUBLIC POLICY|ERIN|HARRIS SCHOOLS INTERNATIONAL INNOVATION CORP
ERIN KEANE SCOTT|HARRIS SCHOOL OF PUBLIC POLICY|LOYOLA UNIVERSITY CHICAGO|LOYOLA UNIVERSITY CHICAGO
ETHAN BUENO DE MESQUITA|HARRIS SCHOOL OF PUBLIC POLICY|HARVARD UNIVERSITY|HARVARD UNIVERSITY
ETHAN RUCKER|HARRIS SCHOOL OF PUBLIC POLICY|LOYOLA UNIVERSITY CHICAGO|LOYOLA UNIVERSITY CHICAGO
EYAL FRANK|HARRIS SCHOOL OF PUBLIC POLICY|COLUMBIA UNIVERSITY|COLUMBIA UNIVERSITY
EDWARDO L. RHODES|INDIANA UNIVERSITY O'NEILL SCHOOL|PRINCETON UNIVERSITY|PRINCETON UNIVERSITY
ELI Z. BARATZ|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
ELISABETH R. GERBER|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MICHIGAN|FORD SCHOOL
EMILY DERRINGER MEE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ERIC  SWANK|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ESTIMATING THE DISTASTE FOR PRICE GOUGING WITH INCENTIVIZED CONSUMER REPORTS|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
EUGENE MCGREGOR, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
