name|faculty_of|has_phd_info|phd_where
ANTHONY FOWLER|HARRIS SCHOOL OF PUBLIC POLICY| ECONOMETRIC METHODS| NOT ANOTHER POLITICS PODCAST.
ARDUINO TOMASI|HARRIS SCHOOL OF PUBLIC POLICY| FORMAL THEORIST OF DEVELOPING COUNTRIES. HIS RESEARCH MAKES USE OF GAME-THEORETIC MODELS| LONDON SCHOOL OF ECONOMICS.
AREMU MBANDE|HARRIS SCHOOL OF PUBLIC POLICY| INCLUSIVE AND DYNAMIC STUDENT PROGRAMMING.| UNIVERSITY OF ILLINOIS AT CHICAGO,
ARIEL KALIL|HARRIS SCHOOL OF PUBLIC POLICY| POSTDOCTORAL FELLOWSHIP AT THE UNIVERSITY OF MICHIGAN'S NATIONAL POVERTY CENTER.| UNIVERSITY OF MICHIGAN'S NATIONAL POVERTY CENTER.
ARNE DUNCAN|HARRIS SCHOOL OF PUBLIC POLICY| THIRTY MILLION WORDS| UNIVERSITY OF CHICAGO
ASHLEY MAYER|HARRIS SCHOOL OF PUBLIC POLICY| NON-DEGREE CREDENTIAL| NON-DEGREE CREDENTIAL
AUSTIN WRIGHT|HARRIS SCHOOL OF PUBLIC POLICY| RIGOROUS PROGRAMMING AND ANALYTICAL TRAINING WE PROVIDE TO OUR DEGREE STUDENTS.| PRINCETON UNIVERSITY
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL| 2013M.S.,| FLORIDA STATE UNIVERSITY,
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL| 1966| UNIVERSITY OF PITTSBURGH,
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY OF EXETER, ENGLANDCERTIFICATE IN EDUCATION,| UNIVERSITY OF EXETER,
ADRIAN STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|MAAA, O'NEILL SCHOOL, IU, 2014BA IN RELIGION,| 2014BA IN RELIGION, WABASH COLLEGE,
ADRIENNE HARRIS|FORD SCHOOL OF PUBLIC POLICY| TOWSLEY FOUNDATION POLICYMAKER IN RESIDENCE PROGRAM.| GEORGETOWN UNIVERSITY.
ALAN  WALSH|INDIANA UNIVERSITY O'NEILL SCHOOL| BUSINESS ANALYTICS,| INDIANA UNIVERSITYB.A.
ALAN ALTSHULER|HARVARD KENNEDY SCHOOL| PHD FROM THE UNIVERSITY OF CHICAGO..| UNIVERSITY OF CHICAGO..
ALBERTO  ORTEGA|INDIANA UNIVERSITY O'NEILL SCHOOL| 2011PUBLIC MANAGEMENT ECONOMICSCONTEMPORARY ECONOMIC ISSUES IN PUBLIC AFFAIRS| UNIVERSITY OF FLORIDA,
ALEXANDER  ALEXEEV|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY DIPLOMA WITH DISTINCTION,| UNIVERSITY DIPLOMA WITH DISTINCTION,
ALLISON YOUATT SCHNABLE|INDIANA UNIVERSITY O'NEILL SCHOOL| EVIDENCE-BASED DECISION-MAKING| UNIVERSITY OF CHICAGO,
AMANDA RUTHERFORD|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY OF OKLAHOMAMANAGEMENT OF PUBLIC PROBLEMS AND SOLUTIONSPUBLIC| UNIVERSITY OF OKLAHOMAB.A.
AMANDA SCHERER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
AMY HARRIS|FORD SCHOOL OF PUBLIC POLICY| QUALITATIVE AND MIXED METHODS APPROACHES| MIDDLEBURY COLLEGE.
AMY M.  STARK|INDIANA UNIVERSITY O'NEILL SCHOOL| 1995| INDIANA UNIVERSITY,
AMY OSAJIMA|INDIANA UNIVERSITY O'NEILL SCHOOL| 1990| UNIVERSITY OF CALIFORNIA, IRVINE,
ANDREA NEED|INDIANA UNIVERSITY O'NEILL SCHOOL| (MAGNA CUM LAUDE)/M.S.E.S.,| UNIVERSITY OF MICHIGAN,
ANDRÉ FRANCO|INDIANA UNIVERSITY O'NEILL SCHOOL|PHD, SOIL SCIENCE,| UNIVERSITY OF SÃO PAULO,
ANH NGOC TRAN|INDIANA UNIVERSITY O'NEILL SCHOOL| (WITH HONORS)| UNIVERSITY OF NEW SOUTH WALES,
ANNIE HSU|INDIANA UNIVERSITY O'NEILL SCHOOL| PUBLIC FINANCE,| UNIVERSITY OF HOUSTONM.A.,
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL| 1999ELEMENTS OF GOVERNMENT AND NONPROFIT ACCOUNTINGGOVERNMENT FINANCE ACCOUNTING & REPORTING| INDIANA UNIVERSITY,
ANTUNG ANTHONY LIU|INDIANA UNIVERSITY O'NEILL SCHOOL| 2012M.A.,| UNIVERSITY OF CALIFORNIA-SAN DIEGO,
APRIL GRUDI|INDIANA UNIVERSITY O'NEILL SCHOOL|M.P.H., EMORY UNIVERSITY, 2008B.A.,| EMORY UNIVERSITY,
ARI  SOLOTOFF|INDIANA UNIVERSITY O'NEILL SCHOOL|JD, UNIVERSITY OF MAINE, SCHOOL OF LAW, 2015BA,| UNIVERSITY OF MAINE,
ARTHUR APPLBAUM|HARVARD KENNEDY SCHOOL|" SAFRA UNDERGRADUATE ETHICS FELLOWSHIP SEMINAR
FRESHMAN SEMINAR"| FULBRIGHT SCHOLAR IN JERUSALEM,
ASHLEY CLARK|INDIANA UNIVERSITY O'NEILL SCHOOL| 1995SPEA V450:| UNIVERSITY OF MARYLAND,
ASHLYN AIKO NELSON|INDIANA UNIVERSITY O'NEILL SCHOOL| ( SUMMA CUM LAUDE)| UNIVERSITY OF SOUTHERN CALIFORNIA,
AVRAM  G. PRIMACK|INDIANA UNIVERSITY O'NEILL SCHOOL| 1986B.A., BIOLOGY AND ENVIRONMENTAL SCIENCE,| UNIVERSITY OF NEW HAMPSHIRE,
BARBARA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY| PROUD ALUMNA OF ST. IGNATIUS COLLEGE PREP.| ST. IGNATIUS COLLEGE PREP.
BERENICE BARREIRO|HARRIS SCHOOL OF PUBLIC POLICY| BACHELOR'S OF SCIENCE DEGREE IN MARKETING.| BACHELOR'S OF SCIENCE DEGREE IN MARKETING.
BEVIS PARDEE|HARRIS SCHOOL OF PUBLIC POLICY| MORE THAN DABBLE).| WHITTIER COLLEGE IN ENGLISH,
BILLY MORGAN|HARRIS SCHOOL OF PUBLIC POLICY| FOCUSED ON THE HISTORY OF THE DEATH PENALTY IN THE STATE OF ILLINOIS.| UNIVERSITY OF CHICAGO,
BLAKE EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY| PUSHING THE ENVELOPE A BIT MORE ASKEW WITH EACH NARRATIVE.| UNIVERSITY OF CALIFORNIA, RIVERSIDE.
BRANDON KURZWEG|HARRIS SCHOOL OF PUBLIC POLICY| BRANDON RECEIVED A MASTER’S DEGREE IN LEADERSHIP STUDIES| NORTH CENTRAL COLLEGE
BRIAN FABES|HARRIS SCHOOL OF PUBLIC POLICY|BRIAN FABES IS A SENIOR| UNIVERSITY OF CHICAGO.
BROOKE FOX|HARRIS SCHOOL OF PUBLIC POLICY| ACHIEVED GRADUATE COURSEWORK IN JOURNALISM AT HARVARD| HARVARD
BRUCE D. MEYER|HARRIS SCHOOL OF PUBLIC POLICY| ACCURACY OF HOUSEHOLD SURVEYS.| NORTHWESTERN UNIVERSITY
BAILEY ANSTEAD|INDIANA UNIVERSITY O'NEILL SCHOOL|JD, INDIANA UNIVERSITY, 2019| INDIANA UNIVERSITY,
BARRY M. RUBIN|INDIANA UNIVERSITY O'NEILL SCHOOL| 1975B.S.,| UNIVERSITY OF WISCONSIN-MADISON,
BEN INSKEEP|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BETH  GAZLEY|INDIANA UNIVERSITY O'NEILL SCHOOL| 1982CAPSTONE IN PUBLIC AFFAIRSDOCTORAL SEMINAR| UNIVERSITY OF GEORGIA,
BETH CATE|INDIANA UNIVERSITY O'NEILL SCHOOL| (CUM LAUDE),| (CUM LAUDE), HARVARD LAW SCHOOL,
BETH CHIMERA|FORD SCHOOL OF PUBLIC POLICY| OFFERING INDIVIDUAL WRITING-CENTER TUTORIAL HOURS| WRITING-CENTER TUTORIAL HOURS
BRAD R. FULTON|INDIANA UNIVERSITY O'NEILL SCHOOL| BERKELEYDIVERSITY AND INEQUALITY| UNIVERSITY OF CHICAGOB.S.,
BRAD SCHROEDER|INDIANA UNIVERSITY O'NEILL SCHOOL| ENVIRONMENTAL SCIENCE, IU, 2004B.S., MECHANICAL ENGINEERING,| CALIFORNIA STATE UNIVERSITY, CHICO,
BRADFORD WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL| TEXAS STATE UNIVERSITY, 2017| TEXAS STATE UNIVERSITY,
BRADLEY T. HEIM|INDIANA UNIVERSITY O'NEILL SCHOOL| (MAGNA CUM LAUDE),| (MAGNA CUM LAUDE),
BRIAN A. JACOB|FORD SCHOOL OF PUBLIC POLICY| TEST SCORE MANIPULATION: EVIDENCE FROM THE NEW YORK STATE REGENTS EXAM.”| UNIVERSITY OF CHICAGO.
BRIAN DELONG|INDIANA UNIVERSITY O'NEILL SCHOOL| DEBATECONTEMPORARY| UNIVERSITY OF WYOMING,
BRIAN PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BRIAN RICHARDSON JR.|INDIANA UNIVERSITY O'NEILL SCHOOL| MANAGING WORKPLACE DIVERSITY| SOUTHERN ILLINOIS UNIVERSITY
BRIAN RICHWINE|INDIANA UNIVERSITY O'NEILL SCHOOL|BSEE, KETTERING UNIVERSITY, FLINT, MICHIGAN,  1991| KETTERING UNIVERSITY, FLINT, MICHIGAN,
BRIAN VOLSKY|INDIANA UNIVERSITY O'NEILL SCHOOL| V378FEDERAL POLICYMAKING THE HEARING PROCESS, V409| INDIANA UNIVERSITY,
BURNELL FISCHER|INDIANA UNIVERSITY O'NEILL SCHOOL| 1974M.S.F.,| PURDUE UNIVERSITY,
C. KURT ZORN|INDIANA UNIVERSITY O'NEILL SCHOOL| 1981M.A. IN ECONOMICS,| STATE UNIVERSITY OF NEW YORK AT ALBANY,
CARLOS FERNANDEZ VALDOVINOS|HARRIS SCHOOL OF PUBLIC POLICY|" ""INFLATION AND WELFARE IN AN ENDOGENOUSLY GROWING ECONOMY""."|" ""INFLATION AND WELFARE IN AN ENDOGENOUSLY GROWING ECONOMY""."
CAROL BROWN|HARRIS SCHOOL OF PUBLIC POLICY| EXPOSING STUDENTS TO PUBLIC POLICY OUTSIDE THE CLASSROOM.| UNIVERSITY OF WISCONSIN-MADISON.
CAROLIN PFLUEGER|HARRIS SCHOOL OF PUBLIC POLICY|CAROLIN PFLUEGER| HARRIS SCHOOL OF PUBLIC POLICY. SHE IS ALSO A NATIONAL BUREAU OF ECONOMIC RESEARCH
CAROLINE JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY| LEVEL II, III, AND IV QUALIFICATIONS,| UNITED STATES NAVAL ACADEMY,
CAROLINE SELBY|HARRIS SCHOOL OF PUBLIC POLICY| INFLUENTIAL PRINCIPALS| MEMBERS OF CONGRESS
CAROLYN SLOANE|HARRIS SCHOOL OF PUBLIC POLICY| NO. 4| EVENING MASTERS PROGRAM.
CAT JACOB|HARRIS SCHOOL OF PUBLIC POLICY| MINOR IN CHINESE AND MIDDLE EASTERN HISTORY.| NORTHWESTERN UNIVERSITY
CATHERINE COHEN|HARRIS SCHOOL OF PUBLIC POLICY| A MINOR IN MARKETING.| LOYOLA UNIVERSITY CHICAGO
CATINA LATHAM|HARRIS SCHOOL OF PUBLIC POLICY| DOCTORATE IN PUBLIC ADMINISTRATION (WITH AN EMPHASIS IN HEALTH POLICY AND EVALUATION)| GEORGE WASHINGTON UNIVERSITY.
CHAD BROUGHTON|HARRIS SCHOOL OF PUBLIC POLICY| SINGLE FACTORY CLOSING IN GALESBURG, ILLINOIS,| SOCIAL SCIENCES COLLEGIATE DIVISION.
CHASSE REHWINKEL|HARRIS SCHOOL OF PUBLIC POLICY| INCLUDE CREDIT UNIONS AND NON-BANK MORTGAGE LENDERS,| GETTYSBURG COLLEGE.
CHENHAO TAN|HARRIS SCHOOL OF PUBLIC POLICY| CV.| CV.
CHRIS CLAPP|HARRIS SCHOOL OF PUBLIC POLICY| MAJORED IN ECONOMICS AND ENGLISH| UNIVERSITY OF VIRGINIA,
CHRISTINA XU|HARRIS SCHOOL OF PUBLIC POLICY| DUAL CONCENTRATION IN MARKETING AND FINANCE.| CAPITAL UNIVERSITY OF ECONOMICS & BUSINESS
CHRISTOPHER BERRY|HARRIS SCHOOL OF PUBLIC POLICY| BEST BOOK AWARD| UNIVERSITY OF CHICAGO.
CHRISTOPHER BLATTMAN|HARRIS SCHOOL OF PUBLIC POLICY| HARVARD UNIVERSITY’S KENNEDY SCHOOL OF GOVERNMENT.| HARVARD UNIVERSITY’S KENNEDY SCHOOL OF GOVERNMENT.
CLAIRE PALANDRI|HARRIS SCHOOL OF PUBLIC POLICY| INTERDISCIPLINARY APPROACH| HARRIS SCHOOL OF PUBLIC POLICY.
CLAYTON HARRIS|HARRIS SCHOOL OF PUBLIC POLICY| HOWARD UNIVERSITY SCHOOL OF LAW| HOWARD UNIVERSITY SCHOOL OF LAW
COLM O'MUIRCHEARTAIGH|HARRIS SCHOOL OF PUBLIC POLICY| STATISTICS| SUMMER INSTITUTE OF THE UNIVERSITY OF MICHIGAN'S INSTITUTE FOR SOCIAL RESEARCH.
CYNTHIA TAYLOR|HARRIS SCHOOL OF PUBLIC POLICY| PREPARING COURSE MATERIALS FOR CLASSES,| TEXTBOOK ORDERS,
CANDACE BERTOTTI|HARVARD KENNEDY SCHOOL| A MASTER’S DEGREE IN PUBLIC ADMINISTRATION FROM HARVARD KENNEDY SCHOOL;| INDIANA UNIVERSITY.READ:HOW
CARLEIGH BERIONT|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
CATHERINE H. HAUSMAN|FORD SCHOOL OF PUBLIC POLICY| FULBRIGHT GRANT.| UNIVERSITY OF MINNESOTA
CHARLES  DUNLAP|INDIANA UNIVERSITY O'NEILL SCHOOL| 1994B.S. IN PUBLIC AFFAIRS,| INDIANA UNIVERSITY, BLOOMINGTON,
CHARLES BONSER|INDIANA UNIVERSITY O'NEILL SCHOOL|DBA, BUSINESS ADMINISTRATION, INDIANA UNIVERSITY,| INDIANA UNIVERSITY,
CHARLES R. WISE|INDIANA UNIVERSITY O'NEILL SCHOOL| 1972M.A.,| INDIANA UNIVERSITY, 1972M.A., INDIANA UNIVERSITY,
CHARLIE PRIDE, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|MBA, MISSOURI STATE UNIVERSITY, 2020B.S.,| UNIVERSITY OF SOUTHERN INDIANA,
CHARLOTTE CAVAILLÉ|FORD SCHOOL OF PUBLIC POLICY| PRINCETON UNIVERSITY’S CENTER FOR THE STUDY OF DEMOCRATIC POLITICS| HARVARD UNIVERSITY
CHERYL K.  HUGHES|INDIANA UNIVERSITY O'NEILL SCHOOL| 1999DIVERSITYHUMAN RESOURCE MANAGEMENT| INDIANA WESLEYAN UNIVERSITY,
CHRIS JACKSON|INDIANA UNIVERSITY O'NEILL SCHOOL|GRADUATE CERTIFICATE,| UNIVERSITY OF INDIANAPOLIS,
CHRIS SCHRADER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CHRIS WAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL| H124HEALTHCARE ETHICS| UNIVERSITY OF LOUISVILLEBA,
CHRISTOPHER  KOHLER|INDIANA UNIVERSITY O'NEILL SCHOOL| 1976E542 - HAZARDOUS MATERIALS| INDIANA UNIVERSITY,
CHRISTOPHER CRAFT|INDIANA UNIVERSITY O'NEILL SCHOOL| 1987M.S.,| UNIVERSITY OF TENNESSEE,
CHRISTOPHER NORIO AVERY|HARVARD KENNEDY SCHOOL| COLLEGE ADMISSIONS SYSTEM.| STANFORD BUSINESS SCHOOL
CHRISTOPHER PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL| 1984| INDIANA UNIVERSITY,
CHUCK RUSSO|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY OF NOTRE DAME, 1982| UNIVERSITY OF NOTRE DAME,
CLAUDIA N. AVELLANEDA|INDIANA UNIVERSITY O'NEILL SCHOOL| 2002B.S. UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA,| UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA, BOGOTÁ, COLOMBIAPUBLIC
CLAYTON NUNES|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CLINTON OSTER, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL| (WITH HONORS),| HARVARD UNIVERSITY,
COADY WING|INDIANA UNIVERSITY O'NEILL SCHOOL| 2010M.A.,| CARLETON UNIVERSITY,
CORINNE PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL| HIGHEST HONORS IN GRAPHIC DESIGN,| INDIANA UNIVERSITY,
CRAIG JOHNSON|INDIANA UNIVERSITY O'NEILL SCHOOL| (HIGHEST DISTINCTION NO. 1 CLASS RANKING),| STATE UNIVERSITY OF NEW YORK AT ALBANY,
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|PHD,| UNIVERSITY OF MINNESOTA,
DAISY CRUZ|HARRIS SCHOOL OF PUBLIC POLICY| BACHELOR'S DEGREE IN SPANISH FROM PURDUE UNIVERSITY NORTHWEST WITH A MINOR IN PSYCHOLOGY| PURDUE UNIVERSITY NORTHWEST
DAMON JONES|HARRIS SCHOOL OF PUBLIC POLICY| A PRACTICUM ON TAX POLICY AND HOUSEHOLD FINANCE.| UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY.
DAN BLACK|HARRIS SCHOOL OF PUBLIC POLICY| HELD VISITING APPOINTMENTS| PURDUE UNIVERSITY.
DAN JUDY|HARRIS SCHOOL OF PUBLIC POLICY| TRUST FOR PUBLIC LAND, CLEARPATH, AND ENVIRONMENTAL DEFENSE),| UNIVERSITY OF GEORGIA
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY| DUAL CONCENTRATIONS IN PSYCHOLOGY AND TRAINING & DEVELOPMENT.| UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN.
DANIEL MOSKOWITZ|HARRIS SCHOOL OF PUBLIC POLICY| HARVARD UNIVERSITY AND B.A. FROM GRINNELL COLLEGE.| HARVARD UNIVERSITY
DANIELLE DUMERER|HARRIS SCHOOL OF PUBLIC POLICY| MASTER OF LIBRARY AND INFORMATION SCIENCE DEGREE| UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN.
DAVE SCHABES|HARRIS SCHOOL OF PUBLIC POLICY| LECTURES FINANCE, INTERNATIONAL ECONOMICS AND FINANCIAL REGULATION.| HARRIS SCHOOL OF PUBLIC POLICY
DAVE STONE|HARRIS SCHOOL OF PUBLIC POLICY| A BA IN POLITICAL SCIENCE FROM KNOX COLLEGE AND AN MBA IN MARKETING| KNOX COLLEGE AND AN MBA IN MARKETING FROM NORTHERN ILLINOIS UNIVERSITY.
DAVID CHRISINGER|HARRIS SCHOOL OF PUBLIC POLICY| HANDBOOK FOR ANYONE PASSIONATE ABOUT USING WRITING TO EFFECT REAL AND LASTING POLICY CHANGES| UNIVERSITY OF WISCONSIN-STEVENS POINT,
DAVID MELTZER|HARRIS SCHOOL OF PUBLIC POLICY| RANDOMIZED TRIALS| UNIVERSITY OF CHICAGO
DAVID ORR|HARRIS SCHOOL OF PUBLIC POLICY| LEADERSHIP CHICAGO PROGRAM,|UNIVERSITY OF CHICAGO HARRIS SCHOOL OF PUBLIC POLICY
DEBRA GAY|HARRIS SCHOOL OF PUBLIC POLICY| CERTIFICATION PROGRAM,| PURDUE UNIVERSITY
DEREK RURY|HARRIS SCHOOL OF PUBLIC POLICY| “Q&A| UNIVERSITY OF CALIFORNIA AT DAVIS
DEREK WU|HARRIS SCHOOL OF PUBLIC POLICY| VOTING MEMBER ON THE MARYLAND STATE BOARD OF EDUCATION.| HARRIS SCHOOL OF PUBLIC POLICY.
DEVON REBER DREHMER|HARRIS SCHOOL OF PUBLIC POLICY| YOGA EXPLORING CHICAGO THE PART-TIME EVENING MASTER'S PROGRAM| YOGA EXPLORING CHICAGO
DMITRI KOUSTAS|HARRIS SCHOOL OF PUBLIC POLICY| MICROTRANSACTIONS| UNIVERSITY OF CALIFORNIA, BERKELEY
DON COURSEY|HARRIS SCHOOL OF PUBLIC POLICY| A BA IN MATHEMATICS AND A PHD IN ECONOMICS| UNIVERSITY OF ARIZONA
DONITA COOK|HARRIS SCHOOL OF PUBLIC POLICY| BACHELOR OF SCIENCE DEGREE IN BUSINESS ADMINISTRATION/FINANCE| STRAYER UNIVERSITY.
DONNAN STEELE|HARRIS SCHOOL OF PUBLIC POLICY| DEPARTMENT OF EARTH, ATMOSPHERIC, AND PLANETARY SCIENCE| M.I.T.,
DOROTHY PARSONS|HARRIS SCHOOL OF PUBLIC POLICY| MINOR IN ENGLISH| UNIVERSITY OF CHICAGO IN MIDDLE EASTERN STUDIES.
DRAE LAWS|HARRIS SCHOOL OF PUBLIC POLICY| STUDENT-ALUMNI MENTORING PROGRAM| CROWN FAMILY SCHOOL
DAN  MELNICK|INDIANA UNIVERSITY O'NEILL SCHOOL|MASTERS OF ETHNOLOGY AND FOLKORE,| UNIVERSITY OF ABERDEENBA,
DAN FLYNN|INDIANA UNIVERSITY O'NEILL SCHOOL| (CUM LAUDE)| ILLINOIS WESLEYAN UNIVERSITY,
DAN GRIFFITH|INDIANA UNIVERSITY O'NEILL SCHOOL| 1983M547 NEGOTIATION AND DISPUTE RESOLUTION| DEPAUW UNIVERSITY,
DANIEL BEVERLY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DANIEL COLE|INDIANA UNIVERSITY O'NEILL SCHOOL|J.S.D., STANFORD LAW SCHOOL,| UNIVERSITY OF CHICAGO,
DANIEL GRUNDMANN|INDIANA UNIVERSITY O'NEILL SCHOOL| 1987COMPENSATION STRATEGY| WESTERN GOVERNORS UNIVERSITY, 2015B.A., INDIANA UNIVERSITY,
DANIEL PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL| UNIVERSITY OF MICHIGANINTERNATIONAL DEVELOPMENT| UNIVERSITY OF MICHIGANINTERNATIONAL
DANIEL SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL| 1989BENEFIT-COST ANALYSIS OF PUBLIC & ENVIRONMENTAL POLICIESMICROECONOMICS| UNIVERSITY OF MARYLAND,
DANIELLE ALLEN|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
DARIO SALCEDO MONROY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVE O’GUINN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID  KONISKY|INDIANA UNIVERSITY O'NEILL SCHOOL| 1995V424 ENVIRONMENTAL LAW,| YALE UNIVERSITY,
DAVID ARCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID AUDRETSCH|INDIANA UNIVERSITY O'NEILL SCHOOL| 1976CAPSTONE COURSEGLOBALIZATION AND PUBLIC POLICYMETROPOLITAN DEVELOPMENT| UNIVERSITY OF WISCONSIN,
DAVID BELL|INDIANA UNIVERSITY O'NEILL SCHOOL| MICHIGAN STATE UNIVERSITYA.A.,| UNIVERSITY OF PITTSBURGHMPA,
DAVID F. PARKHURST|INDIANA UNIVERSITY O'NEILL SCHOOL| 1970M.S.,| UNIVERSITY OF WISCONSIN-MADISON,
DAVID G. EHRLICH|INDIANA UNIVERSITY O'NEILL SCHOOL| (WITH DISTINCTION),| UNIVERSITY OF MICHIGAN,
DAVID GOOD|INDIANA UNIVERSITY O'NEILL SCHOOL| 1977B.A.,| UNIVERSITY OF PENNSYLVANIA,
DAVID GREGOIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID HENRY|INDIANA UNIVERSITY O'NEILL SCHOOL| HONORS THESIS (ADVISOR)| BALDWIN WALLACE UNIVERSITY,
