name|faculty_of|has_phd_info|phd_where
ANDREW DAWSON|HARRIS SCHOOL OF PUBLIC POLICY|MA IN ART HISTORY FROM TCU.  WHEN NOT AT|WHEN
ANDRÉS BARROSO CHAVEZ|HARRIS SCHOOL OF PUBLIC POLICY|AS A COORDINATOR|EFFORTS TO REDUCE POVERTY
ANI GATZ|HARRIS SCHOOL OF PUBLIC POLICY|LITERATURE FROM THE UNIVERSITY OF ARIZONA AND HER MASTER’S|IN PUBLIC FINANCE. ANI
ANJALI ADUKIA|HARRIS SCHOOL OF PUBLIC POLICY|SZASZ,|GLOBAL HEALTH NOW BY A. SCHRAUFNAGEL, 2/15/2016
ANNA MEDEARIS|HARRIS SCHOOL OF PUBLIC POLICY|ECONOMIC GROWTH IN THE|ECONOMIC AND SOCIAL COMMISSION
ANNETTE BROWN|HARRIS SCHOOL OF PUBLIC POLICY|NOT-FOR-PROFIT|BURDEN OF MALNUTRITION AND
ANTHONY FOWLER|HARRIS SCHOOL OF PUBLIC POLICY|HE IS AN EDITOR-IN-CHIEF|OF EMPIRICAL RESEARCH. HE IS AN EDITOR-IN-CHIEF
ARDUINO TOMASI|HARRIS SCHOOL OF PUBLIC POLICY|(INSTRUCTOR) AT|RESEARCHER (INSTRUCTOR)
AREMU MBANDE|HARRIS SCHOOL OF PUBLIC POLICY|ORGANIZED|PREVIOUSLY EARNED HIS BS IN PSYCHOLOGY FROM HOWARD
ARIEL KALIL|HARRIS SCHOOL OF PUBLIC POLICY|NIH, NSF, AND BY A|FACULTY SCHOLARS AWARD,
ARNE DUNCAN|HARRIS SCHOOL OF PUBLIC POLICY|ACTIVITIES|COMMUNITY WILL HELP MAKE HARRIS A PREEMINENT PLACE
ASHLEY MAYER|HARRIS SCHOOL OF PUBLIC POLICY|NON-DEGREE|ALUMNI CAREER OFFICE. SHE ALSO PREVIOUSLY WORKED IN
AUSTIN WRIGHT|HARRIS SCHOOL OF PUBLIC POLICY|A TEACH FOR AMERICA CORPS MEMBER IN NEW ORLEANS, LOUISIANA|YALE UNIVERSITY
AARON DESLATTE|INDIANA UNIVERSITY O'NEILL SCHOOL|2009B.G.S., MISSOURI SOUTHERN STATE UNIVERSITY, 2007|FLORIDA STATE UNIVERSITY, 2009B.G.S., MISSOURI
ADAM  LAZRI|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ADAM W. HERBERT|INDIANA UNIVERSITY O'NEILL SCHOOL|1967B.A., UNIVERSITY|1967B.A., UNIVERSITY OF SOUTHERN
ADRIAN SARGEANT|INDIANA UNIVERSITY O'NEILL SCHOOL|IN EDUCATION, UNIVERSITY OF EXETERM.B.A.,|IN EDUCATION, UNIVERSITY OF EXETERM.B.A., HERIOT-WATT
ADRIAN STARNES|INDIANA UNIVERSITY O'NEILL SCHOOL|IN RELIGION,|MAAA, O'NEILL SCHOOL, IU, 2014BA IN RELIGION,
ADRIENNE HARRIS|FORD SCHOOL OF PUBLIC POLICY|PROP-TECH COMPANY. SHE IS AN ADVISOR TO SEVERAL FINTECH|INSTITUTIONS
ALAN  WALSH|INDIANA UNIVERSITY O'NEILL SCHOOL|M.S., BUSINESS ANALYTICS, INDIANA|M.S., BUSINESS ANALYTICS, INDIANA UNIVERSITYB.A. RELIGIOUS
ALAN ALTSHULER|HARVARD KENNEDY SCHOOL|HAS BEEN|ADMINISTRATION, PROFESSOR OF POLITICAL SCIENCE AND URBAN PLANNING AT THE
ALBERTO  ORTEGA|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., UNIVERSITY|PH.D., UNIVERSITY OF FLORIDA, 2017M.A.,
ALEXANDER  ALEXEEV|INDIANA UNIVERSITY O'NEILL SCHOOL|2010MPA/MSES,|STATISTICAL ANALYSIS FOR EFFECTIVE DECISION-MAKINGSPEA-V
ALLISON YOUATT SCHNABLE|INDIANA UNIVERSITY O'NEILL SCHOOL|NONPROFIT SECTOR IN COMPARATIVE PERSPECTIVE (O’NEILL IN DENMARK)V221:|PH.D.,
AMANDA RUTHERFORD|INDIANA UNIVERSITY O'NEILL SCHOOL|A&M UNIVERSITYMPA, UNIVERSITY OF OKLAHOMAB.A.|A&M UNIVERSITYMPA, UNIVERSITY OF OKLAHOMAB.A.
AMANDA SCHERER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
AMY HARRIS|FORD SCHOOL OF PUBLIC POLICY|SHE EXAMINES THE RELATIONSHIP|SHE USES QUALITATIVE AND MIXED
AMY M.  STARK|INDIANA UNIVERSITY O'NEILL SCHOOL|MANAGEMENT, INDIANA UNIVERSITY, 2020B.S., SECONDARY|SECONDARY EDUCATION, INDIANA
AMY OSAJIMA|INDIANA UNIVERSITY O'NEILL SCHOOL|LAUDE,|LAUDE,
ANDREA NEED|INDIANA UNIVERSITY O'NEILL SCHOOL|LAW AND THE ARTS|LAW AND THE ARTS
ANDRÉ FRANCO|INDIANA UNIVERSITY O'NEILL SCHOOL|PAULO,|SÃO PAULO, 2015MS, BIOENERGY, UNIVERSIDADE ESTADUAL DE LONDRINA,
ANH NGOC TRAN|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY, 2009MASTER IN ADVANCED ECONOMICS, UNIVERSITY OF NEW SOUTH WALES, 1999A.B.|(WITH
ANNIE HSU|INDIANA UNIVERSITY O'NEILL SCHOOL|ANALYSISCONTEMPORARY ECONOMIC ISSUES|ANALYSISCONTEMPORARY ECONOMIC ISSUES
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY, 2020MBA,|2020MBA, DEPAUL UNIVERSITY, 2003B.S., BUSINESS,
ANTUNG ANTHONY LIU|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., UNIVERSITY OF CALIFORNIA-SAN|2005B.A., STANFORD UNIVERSITY, 2000PUBLIC PROGRAM EVALUATIONENVIRONMENT AND PEOPLEMANAGERIAL STATISTICSSUSTAINABILITY
APRIL GRUDI|INDIANA UNIVERSITY O'NEILL SCHOOL|M.P.H., EMORY|2008B.A., SOCIOLOGY AND POLITICAL
ARI  SOLOTOFF|INDIANA UNIVERSITY O'NEILL SCHOOL|OF LAW, 2015BA, UNIVERSITY OF CALIFORNIA,|2015BA, UNIVERSITY OF CALIFORNIA, BERKELEY, 2002
ARTHUR APPLBAUM|HARVARD KENNEDY SCHOOL|HIS WORK ON POLITICAL LEGITIMACY, CIVIL AND|"94SAF:  SAFRA UNDERGRADUATE ETHICS FELLOWSHIP SEMINAR
FRESHMAN SEMINAR 48K:"
ASHLEY CLARK|INDIANA UNIVERSITY O'NEILL SCHOOL|V450: INTRODUCTION|V450: INTRODUCTION TO SURVEY RESEARCHSPEA V550: SURVEY
ASHLYN AIKO NELSON|INDIANA UNIVERSITY O'NEILL SCHOOL|(MAGNA CUM LAUDE) BUSINESS ADMINISTRATION, UNIVERSITY OF SOUTHERN CALIFORNIA, 2001PUBLIC|(MAGNA CUM LAUDE)
AVRAM  G. PRIMACK|INDIANA UNIVERSITY O'NEILL SCHOOL|BIOLOGY AND ENVIRONMENTAL|PH.D.,
BARBARA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY|UNION|IGNATIUS COLLEGE PREP. SHE EARNED HER BS FROM THE
BERENICE BARREIRO|HARRIS SCHOOL OF PUBLIC POLICY|STRENGTHS ARE CONTENT|SPEAKING. IN
BEVIS PARDEE|HARRIS SCHOOL OF PUBLIC POLICY|AND|MINOR IN HISTORY. HE
BILLY MORGAN|HARRIS SCHOOL OF PUBLIC POLICY|ILLINOIS. HE IS AN AVID READER AND IS FOCUSED|ON STATE AND LOCAL CAMPAIGNS, HE HAS ALSO DABBLED
BLAKE EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY|WRITER PUSHING THE ENVELOPE A BIT MORE|WRITINGS, AND WINTER
BRANDON KURZWEG|HARRIS SCHOOL OF PUBLIC POLICY|RECRUITMENT, RETENTION, AND DEVELOPMENT PRIORITIES. BRANDON|INSTITUTIONAL RECRUITMENT, RETENTION, AND
BRIAN FABES|HARRIS SCHOOL OF PUBLIC POLICY|WITH PUBLIC AND PRIVATE SECTOR LEADERS. OVER|YEARS.
BROOKE FOX|HARRIS SCHOOL OF PUBLIC POLICY|VISUAL AND DATA JOURNALISM TEAM AT THE|INVITED TO
BRUCE D. MEYER|HARRIS SCHOOL OF PUBLIC POLICY|DEPARTMENT OF LABOR, U.S. BUREAU|INSTITUTE FOR RESEARCH ON POVERTY, A
BAILEY ANSTEAD|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY, 2019|JD, INDIANA UNIVERSITY,
BARRY M. RUBIN|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., URBAN AND REGIONAL ANALYSIS, UNIVERSITY OF WISCONSIN-MADISON,|PH.D., URBAN AND REGIONAL ANALYSIS, UNIVERSITY OF WISCONSIN-MADISON,
BEN INSKEEP|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BETH  GAZLEY|INDIANA UNIVERSITY O'NEILL SCHOOL|D'ETUDES|CERTIFIED FUND-RAISING EXECUTIVE, ASSOCIATION
BETH CATE|INDIANA UNIVERSITY O'NEILL SCHOOL|LAUDE), HARVARD LAW SCHOOL, 1991B.A.,|LAUDE), ECONOMICS, GEORGE WASHINGTON UNIVERSITY, 1988CAPSTONE
BETH CHIMERA|FORD SCHOOL OF PUBLIC POLICY|SHE HAS WORKED AS|A WRITING INSTRUCTOR AT THE FORD SCHOOL. IN ADDITION TO OFFERING INDIVIDUAL
BRAD R. FULTON|INDIANA UNIVERSITY O'NEILL SCHOOL|U.C., BERKELEYDIVERSITY AND INEQUALITY (ALSO ON|CHICAGOB.S., U.C., BERKELEYDIVERSITY AND INEQUALITY (ALSO ON
BRAD SCHROEDER|INDIANA UNIVERSITY O'NEILL SCHOOL|M.S., ENVIRONMENTAL SCIENCE, IU, 2004B.S., MECHANICAL|2004B.S., MECHANICAL ENGINEERING, CALIFORNIA STATE UNIVERSITY, CHICO, 1984
BRADFORD WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY, 2017|MS, TEXAS STATE UNIVERSITY,
BRADLEY T. HEIM|INDIANA UNIVERSITY O'NEILL SCHOOL|LAUDE), JOHNS HOPKINS UNIVERSITY, 1997FINANCIAL AND COST-BENEFIT|LAUDE), JOHNS HOPKINS UNIVERSITY, 1997FINANCIAL AND COST-BENEFIT
BRIAN A. JACOB|FORD SCHOOL OF PUBLIC POLICY|“HOW DOES AN ACCOUNTABILITY|EVIDENCE FROM THE NEW
BRIAN DELONG|INDIANA UNIVERSITY O'NEILL SCHOOL|M.A., WAKE|CONTROVERSIESCONTROVERSIES IN ENVIRONMENTAL HEALTHPUBLIC AFFAIRS AND DEBATEPUBLIC
BRIAN PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BRIAN RICHARDSON JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|CULVER-STOCKTON COLLEGE,|2013B.S., CULVER-STOCKTON COLLEGE,
BRIAN RICHWINE|INDIANA UNIVERSITY O'NEILL SCHOOL|KETTERING UNIVERSITY,|BSEE, KETTERING UNIVERSITY,
BRIAN VOLSKY|INDIANA UNIVERSITY O'NEILL SCHOOL|V378FEDERAL POLICYMAKING THE HEARING|THE HEARING
BURNELL FISCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|CAPSTONEENVIRONMENT & PEOPLEURBAN|PH.D., PURDUE
C. KURT ZORN|INDIANA UNIVERSITY O'NEILL SCHOOL|IN ECONOMICS, STATE UNIVERSITY OF NEW YORK AT ALBANY,|1981M.A. IN ECONOMICS, SYRACUSE
CARLOS FERNANDEZ VALDOVINOS|HARRIS SCHOOL OF PUBLIC POLICY|(2004-2006) AND THE IMF (2006-2913), WHERE|BY CENTRAL BANKING MAGAZINE AND CENTRAL BANKER OF THE YEAR, AMERICAS
CAROL BROWN|HARRIS SCHOOL OF PUBLIC POLICY|TELECOMMUNICATIONS|HOUSE, FEDERAL AGENCIES,
CAROLIN PFLUEGER|HARRIS SCHOOL OF PUBLIC POLICY|BONDS TO THE ECONOMIC DRIVERS OF ``STAGFLATIONS’’,|BONDS TO THE ECONOMIC DRIVERS OF ``STAGFLATIONS’’,
CAROLINE JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY|HER MEMOIR,|35+
CAROLINE SELBY|HARRIS SCHOOL OF PUBLIC POLICY|YEARS|YEARS
CAROLYN SLOANE|HARRIS SCHOOL OF PUBLIC POLICY|SHE IS A LABOR ECONOMIST PURSUING POLICY-RELEVANT|RADIO, WCBS NEWSRADIO 880, NIKKI
CAT JACOB|HARRIS SCHOOL OF PUBLIC POLICY|ASSOCIATES, AN INTERNATIONAL STATE AND TRUST FIRM IN EVANSTON, ILLINOIS.|SCIENCE WITH A MINOR IN CHINESE AND MIDDLE EASTERN
CATHERINE COHEN|HARRIS SCHOOL OF PUBLIC POLICY|CATHERINE|AND GAME PREPARATION. CATHERINE HOLDS A B.A.
CATINA LATHAM|HARRIS SCHOOL OF PUBLIC POLICY|AND|RECRUITING EFFORTS IN ALL LOCATIONS.    DR. LATHAM
CHAD BROUGHTON|HARRIS SCHOOL OF PUBLIC POLICY|IMMIGRATION POLICY, AND, SECOND, THE STUDY OF CRIME,|CRIME, WITH A PARTICULAR INTEREST
CHASSE REHWINKEL|HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO, THE LABORERS’ & RETIREMENT|PUBLIC POLICY AND HIS BACHELOR'S
CHENHAO TAN|HARRIS SCHOOL OF PUBLIC POLICY|I DIRECT THE CHICAGO HUMAN+AI|COMMUNITIES
CHRIS CLAPP|HARRIS SCHOOL OF PUBLIC POLICY|ECONOMICS|WITH MY WIFE,
CHRISTINA XU|HARRIS SCHOOL OF PUBLIC POLICY|GLOBAL SOURCING STRATEGY, LED THE NEW PRODUCT|A GLOBAL SOURCING STRATEGY, LED THE NEW PRODUCT DEVELOPMENT
CHRISTOPHER BERRY|HARRIS SCHOOL OF PUBLIC POLICY|VISIT HIS RESEARCH WEBSITE. TO LEARN|MULTILEVEL GOVERNMENTS, WINNER
CHRISTOPHER BLATTMAN|HARRIS SCHOOL OF PUBLIC POLICY|HE LEADS THE PEACE & RECOVERY|MIT’S
CLAIRE PALANDRI|HARRIS SCHOOL OF PUBLIC POLICY|SOCIO-ECOLOGICAL TRANSITION. HER RESEARCH RELATES TO 2 AREAS:|ANIMAL FARMING
CLAYTON HARRIS|HARRIS SCHOOL OF PUBLIC POLICY|EARNED HIS B.S. IN AEROSPACE TECHNOLOGY FROM MIDDLE TENNESSEE|ARPA)
COLM O'MUIRCHEARTAIGH|HARRIS SCHOOL OF PUBLIC POLICY|IRELAND, ITALY, AND THE NETHERLANDS. THROUGH HIS WORK|CENSUS. HE HAS SERVED AS A CONSULTANT
CYNTHIA TAYLOR|HARRIS SCHOOL OF PUBLIC POLICY|CYNTHIA|BECAME EXECUTIVE
CANDACE BERTOTTI|HARVARD KENNEDY SCHOOL|A|INDUSTRIES (FROM HEALTHCARE TO HIGH-TECH), AND ORGANIZATIONS (FROM GOOGLE
CARLEIGH BERIONT|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
CATHERINE H. HAUSMAN|FORD SCHOOL OF PUBLIC POLICY|LEAKS, THE IMPACT OF CLIMATE CHANGE ON THE ELECTRICITY|HER WORK FOCUSES ON ENVIRONMENTAL AND ENERGY ECONOMICS.
CHARLES  DUNLAP|INDIANA UNIVERSITY O'NEILL SCHOOL|JURISPRUDENCE,|JURISPRUDENCE,
CHARLES BONSER|INDIANA UNIVERSITY O'NEILL SCHOOL|DBA, BUSINESS ADMINISTRATION,|BOWLING GREEN STATE UNIVERSITY, 1954
CHARLES R. WISE|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., INDIANA UNIVERSITY, 1972M.A., INDIANA|PH.D., INDIANA UNIVERSITY, 1972M.A., INDIANA
CHARLIE PRIDE, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|2009B.S., FINANCE, UNIVERSITY OF SOUTHERN|2009B.S., FINANCE, UNIVERSITY OF SOUTHERN INDIANA, 2003
CHARLOTTE CAVAILLÉ|FORD SCHOOL OF PUBLIC POLICY|REDISTRIBUTIVE SOCIAL POLICIES AT A TIME OF RISING INEQUALITY, HIGH FISCAL STRESS,|REDISTRIBUTIVE SOCIAL POLICIES AT A TIME OF RISING INEQUALITY,
CHERYL K.  HUGHES|INDIANA UNIVERSITY O'NEILL SCHOOL|M.B.A., HUMAN|BUSINESS ADMINISTRATION, INDIANA WESLEYAN UNIVERSITY, 1999DIVERSITYHUMAN RESOURCE MANAGEMENT IN THE PUBLIC
CHRIS JACKSON|INDIANA UNIVERSITY O'NEILL SCHOOL|2013B.A., POLITICAL SCIENCE, UNIVERSITY OF INDIANAPOLIS, 2010|2013B.A., POLITICAL SCIENCE, UNIVERSITY OF INDIANAPOLIS,
CHRIS SCHRADER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CHRIS WAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|H374HOSPITAL|H374HOSPITAL
CHRISTOPHER  KOHLER|INDIANA UNIVERSITY O'NEILL SCHOOL|M.S., GEOLOGY,|GEOLOGY, INDIANA UNIVERSITY, 1976E542
CHRISTOPHER CRAFT|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., SOIL SCIENCE, NORTH|1980APPLIED ECOLOGYENVIRONMENT & PEOPLERESTORATION
CHRISTOPHER NORIO AVERY|HARVARD KENNEDY SCHOOL|HE STUDIES RATING AND SELECTION MECHANISMS, FOCUSING ON|MECHANISMS, FOCUSING ON
CHRISTOPHER PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|B.A., INDIANA UNIVERSITY, 1984|B.A.,
CHUCK RUSSO|INDIANA UNIVERSITY O'NEILL SCHOOL|ENGINEERING, UNIVERSITY OF NOTRE|BS, CHEMICAL ENGINEERING, UNIVERSITY OF NOTRE
CLAUDIA N. AVELLANEDA|INDIANA UNIVERSITY O'NEILL SCHOOL|CUNDINAMARCA, BOGOTÁ,|CUNDINAMARCA, BOGOTÁ, COLOMBIAPUBLIC MANAGEMENTGOVERNANCE
CLAYTON NUNES|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CLINTON OSTER, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., ECONOMICS,|1973B.S.E., (WITH
COADY WING|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., MAXWELL|2010M.A., SCHOOL OF PUBLIC POLICY AND ADMINISTRATION, CARLETON UNIVERSITY, 2006B.PAPM.,
CORINNE PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|COURSEWORK, 2006-07B.F.A. WITH HIGHEST HONORS|COURSEWORK, 2006-07B.F.A. WITH HIGHEST HONORS
CRAIG JOHNSON|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., STATE UNIVERSITY OF NEW YORK AT ALBANY,|PH.D., STATE UNIVERSITY OF NEW YORK AT ALBANY,
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|POLICY, AND ADMINISTRATION,|UNIVERSITY OF MINNESOTA, 2022MPH, COMMUNITY HEALTH AND PREVENTION,
DAISY CRUZ|HARRIS SCHOOL OF PUBLIC POLICY|AT UCHICAGO'S|IN THIS ROLE, SHE ADVISES
DAMON JONES|HARRIS SCHOOL OF PUBLIC POLICY|INCLUDE INEQUALITY, HOUSEHOLD FINANCIAL DECISION-MAKING, AND|AND LABOR MARKET OUTCOMES, AND ECONOMIC INEQUALITY
DAN BLACK|HARRIS SCHOOL OF PUBLIC POLICY|AUSTRALIAN GOVERNMENTS AS WELL AS STATE AND CITY GOVERNMENTS.|ECONOMICS AND APPLIED ECONOMETRICS. HIS
DAN JUDY|HARRIS SCHOOL OF PUBLIC POLICY|MAINE TO GEORGIA, RUN TWO|PASSIONATE FAN OF THE GEORGIA BULLDOGS,
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY|SHE HAS TRAINED STUDENTS, FACULTY,|ALUMNI, STAFF, AND FACULTY.
DANIEL MOSKOWITZ|HARRIS SCHOOL OF PUBLIC POLICY|FROM GRINNELL|"CONGRESS, AND POLITICAL PARTIES.
BEFORE"
DANIELLE DUMERER|HARRIS SCHOOL OF PUBLIC POLICY|PRODUCTS AT THE MCGRAW-HILL|CHICAGO
DAVE SCHABES|HARRIS SCHOOL OF PUBLIC POLICY|IN ADDITION TO THE WHOLESALE BROKER-DEALER,|IN ADDITION TO THE WHOLESALE BROKER-DEALER,
DAVE STONE|HARRIS SCHOOL OF PUBLIC POLICY|NASCENT START-UPS.|STRATEGIES TO ENGAGE
DAVID CHRISINGER|HARRIS SCHOOL OF PUBLIC POLICY|SENIOR COMMUNICATIONS SPECIALIST AT THE U.S.|EXECUTION
DAVID MELTZER|HARRIS SCHOOL OF PUBLIC POLICY|PRODUCED BEST CARE AT LOWER COST. HE|PRODUCED BEST CARE AT LOWER COST. HE
DAVID ORR|HARRIS SCHOOL OF PUBLIC POLICY|ELECTION JURISDICTIONS IN THE COUNTRY. A|REFORM, THE MOTOR VOTER LAW,
DEBRA GAY|HARRIS SCHOOL OF PUBLIC POLICY|RESOURCE|SUPPORTS HER GOALS TO LEAD SUSTAINABILITY
DEREK RURY|HARRIS SCHOOL OF PUBLIC POLICY|DEREK|LAB”.
DEREK WU|HARRIS SCHOOL OF PUBLIC POLICY|EQUITABLE GROWTH.  PRIOR|(ADMINISTRATION
DEVON REBER DREHMER|HARRIS SCHOOL OF PUBLIC POLICY|WORK. I’VE BEEN THINKING ABOUT HER CO-FOUNDING|BEING A SOCIAL WORKER AND NOW LIVING IN CHICAGO, I’VE
DMITRI KOUSTAS|HARRIS SCHOOL OF PUBLIC POLICY|TO THIS END, HIS RESEARCH PIONEERS NEW AND INNOVATIVE|COMPANIES.
DON COURSEY|HARRIS SCHOOL OF PUBLIC POLICY|AND 1990;|DISTINGUISHED
DONITA COOK|HARRIS SCHOOL OF PUBLIC POLICY|OF MANAGEMENT, AND A MASTER OF|BEFORE ENTERING THE HIGHER EDUCATION FIELD, DONITA
DONNAN STEELE|HARRIS SCHOOL OF PUBLIC POLICY|WHERE HE DEVELOPED AND TEACHES A GRADUATE|ECONOMICS AND POLICY. DONNAN
DOROTHY PARSONS|HARRIS SCHOOL OF PUBLIC POLICY|SHE WROTE OVER 1,000 LETTERS ON BEHALF|SCHOOL OF PUBLIC POLICY. IN THIS ROLE, SHE
DRAE LAWS|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL, DRAE WAS THE ASSISTANT DIRECTOR OF ALUMNI|AFRICAN AMERICAN ALUMNI COMMITTEE FOUNDERS
DAN  MELNICK|INDIANA UNIVERSITY O'NEILL SCHOOL|ETHNOLOGY AND FOLKORE, UNIVERSITY OF ABERDEENBA,|AND FOLKORE, UNIVERSITY OF ABERDEENBA,
DAN FLYNN|INDIANA UNIVERSITY O'NEILL SCHOOL|LAUDE)|2004B.A., ILLINOIS WESLEYAN UNIVERSITY, 1999
DAN GRIFFITH|INDIANA UNIVERSITY O'NEILL SCHOOL|NEGOTIATION AND ALTERNATIVE|NEGOTIATION AND ALTERNATIVE
DANIEL BEVERLY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DANIEL COLE|INDIANA UNIVERSITY O'NEILL SCHOOL|1980CLIMATE LAW AND POLICYENVIRONMENTAL LAWINTERNATIONAL ENVIRONMENTAL LAWLAND USELAW AND ECONOMICSNATURAL|1991J.D., NORTHWESTERN
DANIEL GRUNDMANN|INDIANA UNIVERSITY O'NEILL SCHOOL|2015B.A., INDIANA|MANAGEMENT AND STRATEGY, WESTERN GOVERNORS UNIVERSITY, 2015B.A.,
DANIEL PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|M.A.L.D., THE|STUDYPOLICY-MAKING AROUND THE WORLD:
DANIEL SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL|1994B.A., UNIVERSITY OF WISCONSIN-MADISON,|1994B.A., UNIVERSITY OF WISCONSIN-MADISON, 1989BENEFIT-COST
DANIELLE ALLEN|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
DARIO SALCEDO MONROY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVE O’GUINN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID  KONISKY|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., MASSACHUSETTS INSTITUTE OF TECHNOLOGY, 2006M.E.M|M.A., YALE UNIVERSITY, 1998A.B, WASHINGTON
DAVID ARCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID AUDRETSCH|INDIANA UNIVERSITY O'NEILL SCHOOL|LAUDE, ECONOMICS, DREW UNIVERSITY, 1976CAPSTONE|LAUDE, ECONOMICS, DREW UNIVERSITY, 1976CAPSTONE
DAVID BELL|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., UNIVERSITY OF PITTSBURGHMPA, UNIVERSITY OF PITTSBURGHB.S.,|PH.D., UNIVERSITY OF PITTSBURGHMPA, UNIVERSITY OF PITTSBURGHB.S.,
DAVID F. PARKHURST|INDIANA UNIVERSITY O'NEILL SCHOOL|PH.D., UNIVERSITY OF WISCONSIN-MADISON,|1970M.S., UNIVERSITY
