name|faculty_of|has_phd_info|phd_where
ALLISON YOUATT SCHNABLE|INDIANA UNIVERSITY O'NEILL SCHOOL|PRINCETON UNIVERSITY|PRINCETON UNIVERSITY
AMANDA RUTHERFORD|INDIANA UNIVERSITY O'NEILL SCHOOL|TEXAS A&M UNIVERSITYMPA|TEXAS A&M UNIVERSITYMPA
AMANDA SCHERER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
AMY HARRIS|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF WASHINGTON’S EVANS SCHOOL OF PUBLIC POLICY AND GOVERNANCE|UNIVERSITY OF WASHINGTON
AMY M.  STARK|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
AMY OSAJIMA|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MINNESOTA|UNIVERSITY OF MINNESOTA
ANDREA NEED|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
ANDRÉ FRANCO|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF SÃO PAULO|UNIVERSITY OF SÃO PAULO
ANH NGOC TRAN|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD UNIVERSITY|HARVARD UNIVERSITY
ANNIE HSU|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF HOUSTONM|UNIVERSITY OF HOUSTONM
ANTONETTE MCCASTER|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
ANTUNG ANTHONY LIU|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF CALIFORNIA-SAN DIEGO|UNIVERSITY OF CALIFORNIA-SAN DIEGO
APRIL GRUDI|INDIANA UNIVERSITY O'NEILL SCHOOL|EMORY UNIVERSITY|EMORY UNIVERSITY
ARI  SOLOTOFF|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF CALIFORNIA, BERKELEY, 2002|UNIVERSITY OF MAINE
ARTHUR APPLBAUM|HARVARD KENNEDY SCHOOL|PRINCETON AND HARVARD|PRINCETON AND HARVARD
ASHLEY CLARK|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MARYLAND, 1998B.A., UNIVERSITY OF NORTH CAROLINA|UNIVERSITY OF MARYLAND
ASHLYN AIKO NELSON|INDIANA UNIVERSITY O'NEILL SCHOOL|STANFORD UNIVERSITY|STANFORD UNIVERSITY
AVRAM  G. PRIMACK|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
BARBARA WILLIAMS|HARRIS SCHOOL OF PUBLIC POLICY|ST. IGNATIUS COLLEGE|HARRIS SCHOOL OF PUBLIC POLICY
BERENICE BARREIRO|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL|HARRIS SCHOOL OF PUBLIC POLICY
BEVIS PARDEE|HARRIS SCHOOL OF PUBLIC POLICY|WHITTIER COLLEGE|WHITTIER COLLEGE
BILLY MORGAN|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
BLAKE EDWARDS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA, RIVERSIDE|UNIVERSITY OF CALIFORNIA, RIVERSIDE
BRANDON KURZWEG|HARRIS SCHOOL OF PUBLIC POLICY|NORTH CENTRAL COLLEGE|NORTH CENTRAL COLLEGE
BRIAN FABES|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
BROOKE FOX|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS|UNIVERSITY OF CHICAGO
BRUCE D. MEYER|HARRIS SCHOOL OF PUBLIC POLICY|MASSACHUSETTS INSTITUTE OF TECHNOLOGY|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
BAILEY ANSTEAD|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
BARRY M. RUBIN|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
BEN INSKEEP|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BETH  GAZLEY|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF GEORGIA|UNIVERSITY OF GEORGIA
BETH CATE|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD LAW SCHOOL|HARVARD LAW SCHOOL
BETH CHIMERA|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MICHIGAN|UNIVERSITY OF MICHIGAN
BRAD R. FULTON|INDIANA UNIVERSITY O'NEILL SCHOOL|DUKE UNIVERSITYA|DUKE UNIVERSITYA
BRAD SCHROEDER|INDIANA UNIVERSITY O'NEILL SCHOOL|CALIFORNIA STATE UNIVERSITY|CALIFORNIA STATE UNIVERSITY
BRADFORD WESTRICH|INDIANA UNIVERSITY O'NEILL SCHOOL|TEXAS STATE UNIVERSITY|TEXAS STATE UNIVERSITY
BRADLEY T. HEIM|INDIANA UNIVERSITY O'NEILL SCHOOL|NORTHWESTERN UNIVERSITY|NORTHWESTERN UNIVERSITY
BRIAN A. JACOB|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
BRIAN DELONG|INDIANA UNIVERSITY O'NEILL SCHOOL|WAKE FOREST UNIVERSITY|WAKE FOREST UNIVERSITY
BRIAN PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
BRIAN RICHARDSON JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE|SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE
BRIAN RICHWINE|INDIANA UNIVERSITY O'NEILL SCHOOL|KETTERING UNIVERSITY|KETTERING UNIVERSITY
BRIAN VOLSKY|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
BURNELL FISCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|PURDUE UNIVERSITY|PURDUE UNIVERSITY
C. KURT ZORN|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
CARLOS FERNANDEZ VALDOVINOS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CAROL BROWN|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
CAROLIN PFLUEGER|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL|HARRIS SCHOOL OF PUBLIC POLICY
CAROLINE JOHNSON|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF OKLAHOMA|UNIVERSITY OF OKLAHOMA
CAROLINE SELBY|HARRIS SCHOOL OF PUBLIC POLICY|WASHINGTON, DC|WASHINGTON, DC
CAROLYN SLOANE|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO HARRIS SCHOOL|CHICAGO HARRIS SCHOOL OF PUBLIC POLICY
CAT JACOB|HARRIS SCHOOL OF PUBLIC POLICY|NORTHWESTERN UNIVERSITY|NORTHWESTERN UNIVERSITY
CATHERINE COHEN|HARRIS SCHOOL OF PUBLIC POLICY|LOYOLA UNIVERSITY|LOYOLA UNIVERSITY
CATINA LATHAM|HARRIS SCHOOL OF PUBLIC POLICY|GEORGE WASHINGTON UNIVERSITY|UNIVERSITY OF CHICAGO
CHAD BROUGHTON|HARRIS SCHOOL OF PUBLIC POLICY|CHICAGO|GALESBURG, ILLINOIS
CHASSE REHWINKEL|HARRIS SCHOOL OF PUBLIC POLICY|GETTYSBURG COLLEGE|GETTYSBURG COLLEGE
CHENHAO TAN|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CHRIS CLAPP|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF VIRGINIA|UNIVERSITY OF VIRGINIA
CHRISTINA XU|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CHRISTOPHER BERRY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
CHRISTOPHER BLATTMAN|HARRIS SCHOOL OF PUBLIC POLICY|YALE UNIVERSITY|UNIVERSITY OF CALIFORNIA AT BERKELEY
CLAIRE PALANDRI|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO AND COLUMBIA UNIVERSITY|COLUMBIA UNIVERSITY
CLAYTON HARRIS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
COLM O'MUIRCHEARTAIGH|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITIES|LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
CYNTHIA TAYLOR|HARRIS SCHOOL OF PUBLIC POLICY|STANFORD UNIVERSITY|STANFORD UNIVERSITY
CANDACE BERTOTTI|HARVARD KENNEDY SCHOOL|INDIANA UNIVERSITY|UNIVERSITY OF MARYLAND
CARLEIGH BERIONT|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
CATHERINE H. HAUSMAN|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA, BERKELEY|UNIVERSITY OF CALIFORNIA, BERKELEY
CHARLES  DUNLAP|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY MCKINNEY SCHOOL OF LAW|INDIANA UNIVERSITY MCKINNEY SCHOOL OF LAW
CHARLES BONSER|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHARLES R. WISE|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHARLIE PRIDE, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|MISSOURI STATE UNIVERSITY|MISSOURI STATE UNIVERSITY
CHARLOTTE CAVAILLÉ|FORD SCHOOL OF PUBLIC POLICY|HARVARD UNIVERSITY|HARVARD UNIVERSITY
CHERYL K.  HUGHES|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA WESLEYAN UNIVERSITY|INDIANA WESLEYAN UNIVERSITY
CHRIS JACKSON|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|MICHIGAN STATE UNIVERSITY
CHRIS SCHRADER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CHRIS WAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|SULLIVAN UNIVERSITYMBA|SULLIVAN UNIVERSITYMBA
CHRISTOPHER  KOHLER|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHRISTOPHER CRAFT|INDIANA UNIVERSITY O'NEILL SCHOOL|NORTH CAROLINA STATE UNIVERSITY|NORTH CAROLINA STATE UNIVERSITY
CHRISTOPHER NORIO AVERY|HARVARD KENNEDY SCHOOL|STANFORD BUSINESS SCHOOL|STANFORD BUSINESS SCHOOL
CHRISTOPHER PAYNE|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CHUCK RUSSO|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF NOTRE DAME|UNIVERSITY OF NOTRE DAME
CLAUDIA N. AVELLANEDA|INDIANA UNIVERSITY O'NEILL SCHOOL|TEXAS A&M UNIVERSITY|TEXAS A&M UNIVERSITY
CLAYTON NUNES|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
CLINTON OSTER, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|HARVARD UNIVERSITY|HARVARD UNIVERSITY
COADY WING|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
CORINNE PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
CRAIG JOHNSON|INDIANA UNIVERSITY O'NEILL SCHOOL|STATE UNIVERSITY OF NEW YORK AT ALBANY|STATE UNIVERSITY OF NEW YORK AT ALBANY
CYDNEY MCGUIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MINNESOTA|UNIVERSITY OF MINNESOTA
DAISY CRUZ|HARRIS SCHOOL OF PUBLIC POLICY|PURDUE UNIVERSITY NORTHWEST|PURDUE UNIVERSITY NORTHWEST
DAMON JONES|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO HARRIS|HARRIS
DAN BLACK|HARRIS SCHOOL OF PUBLIC POLICY|PURDUE UNIVERSITY|PURDUE UNIVERSITY
DAN JUDY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF GEORGIA|UNIVERSITY OF GEORGIA
DANA BOZEMAN|HARRIS SCHOOL OF PUBLIC POLICY|LOYOLA UNIVERSITY, NORTHWESTERN UNIVERSITY|UNIVERSITY OF CHICAGO
DANIEL MOSKOWITZ|HARRIS SCHOOL OF PUBLIC POLICY|HARVARD UNIVERSITY|HARVARD UNIVERSITY
DANIELLE DUMERER|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MARYLAND|UNIVERSITY OF MARYLAND
DAVE SCHABES|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY|UNIVERSITY OF CHICAGO
DAVE STONE|HARRIS SCHOOL OF PUBLIC POLICY|NORTHERN ILLINOIS UNIVERSITY|NORTHERN ILLINOIS UNIVERSITY
DAVID CHRISINGER|HARRIS SCHOOL OF PUBLIC POLICY|JOHNS HOPKINS UNIVERSITY|JOHNS HOPKINS UNIVERSITY
DAVID MELTZER|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
DAVID ORR|HARRIS SCHOOL OF PUBLIC POLICY|DICTIONS IN THE COUNTRY|CHICAGO HARRIS SCHOOL OF PUBLIC POLICY
DEBRA GAY|HARRIS SCHOOL OF PUBLIC POLICY|FISK UNIVERSITY|FISK UNIVERSITY
DEREK RURY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA AT DAVIS|UNIVERSITY OF CALIFORNIA AT DAVIS
DEREK WU|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY|HARRIS SCHOOL OF PUBLIC POLICY
DEVON REBER DREHMER|HARRIS SCHOOL OF PUBLIC POLICY|BOSTON COLLEGE|BOSTON COLLEGE
DMITRI KOUSTAS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CALIFORNIA, BERKELEY|UNIVERSITY OF CALIFORNIA, BERKELEY
DON COURSEY|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF ARIZONA|UNIVERSITY OF ARIZONA
DONITA COOK|HARRIS SCHOOL OF PUBLIC POLICY|NORTHWESTERN UNIVERSITY|CITY COLLEGES OF CHICAGO
DONNAN STEELE|HARRIS SCHOOL OF PUBLIC POLICY|YALE|YALE
DOROTHY PARSONS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
DRAE LAWS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
DAN  MELNICK|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF ABERDEENBA|UNIVERSITY OF ABERDEENBA
DAN FLYNN|INDIANA UNIVERSITY O'NEILL SCHOOL|IU MAURER SCHOOL OF LAW|IU MAURER SCHOOL OF LAW
DAN GRIFFITH|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
DANIEL BEVERLY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DANIEL COLE|INDIANA UNIVERSITY O'NEILL SCHOOL|STANFORD LAW SCHOOL|STANFORD LAW SCHOOL
DANIEL GRUNDMANN|INDIANA UNIVERSITY O'NEILL SCHOOL|WESTERN GOVERNORS UNIVERSITY|WESTERN GOVERNORS UNIVERSITY
DANIEL PRESTON|INDIANA UNIVERSITY O'NEILL SCHOOL|THE FLETCHER SCHOOL OF LAW AND DIPLOMACY, TUFTS UNIVERSITYB|THE FLETCHER SCHOOL OF LAW AND DIPLOMACY, TUFTS UNIVERSITYB
DANIEL SIMON|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF MARYLAND|UNIVERSITY OF MARYLAND
DANIELLE ALLEN|HARVARD KENNEDY SCHOOL|VALUE ERROR|VALUE ERROR
DARIO SALCEDO MONROY|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVE O’GUINN|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID  KONISKY|INDIANA UNIVERSITY O'NEILL SCHOOL|MASSACHUSETTS INSTITUTE OF TECHNOLOGY|MASSACHUSETTS INSTITUTE OF TECHNOLOGY
DAVID ARCHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID AUDRETSCH|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN|UNIVERSITY OF WISCONSIN
DAVID BELL|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PITTSBURGHMPA|UNIVERSITY OF PITTSBURGHMPA
DAVID F. PARKHURST|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF WISCONSIN-MADISON|UNIVERSITY OF WISCONSIN-MADISON
DAVID G. EHRLICH|INDIANA UNIVERSITY O'NEILL SCHOOL|WAYNE STATE UNIVERSITY|WAYNE STATE UNIVERSITY
DAVID GOOD|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF PENNSYLVANIA|UNIVERSITY OF PENNSYLVANIA
DAVID GREGOIRE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
DAVID HENRY|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY-BLOOMINGTON, 2005|INDIANA UNIVERSITY-BLOOMINGTON
DAWNE DIORIO|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITYB|INDIANA UNIVERSITYB
DEANNA MALATESTA|INDIANA UNIVERSITY O'NEILL SCHOOL|UNIVERSITY OF GEORGIA|UNIVERSITY OF GEORGIA
DENNIS  CROMWELL|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITYB|INDIANA UNIVERSITYB
DENVIL DUNCAN|INDIANA UNIVERSITY O'NEILL SCHOOL|GEORGIA STATE UNIVERSITY|GEORGIA STATE UNIVERSITY
DESMOND ANG|HARVARD KENNEDY SCHOOL|UNIVERSITY OF CALIFORNIA, SAN DIEGO|UNIVERSITY OF CALIFORNIA, SAN DIEGO
DEVIN JUDGE-LORD|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF WISCONSIN–MADISON|UNIVERSITY OF WISCONSIN–MADISON
DIANE S. HENSHEL|INDIANA UNIVERSITY O'NEILL SCHOOL|WASHINGTON UNIVERSITY|WASHINGTON UNIVERSITY
DOUGLAS BOOHER|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
EDUARDO MONTERO|HARRIS SCHOOL OF PUBLIC POLICY|STANFORD UNIVERSITY|HARVARD UNIVERSITY
ELAINA MACK|HARRIS SCHOOL OF PUBLIC POLICY|LOYOLA UNIVERSITY|LOYOLA UNIVERSITY
EMILY MAGILL|HARRIS SCHOOL OF PUBLIC POLICY|OHIO STATE UNIVERSITY|OHIO STATE UNIVERSITY
ERIC STELTENPOHL|HARRIS SCHOOL OF PUBLIC POLICY|DIGITAL MARKETING|HARRIS
ERIC THOMAS|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF PHOENIX|UNIVERSITY OF PHOENIX
ERIN HOFFMAN|HARRIS SCHOOL OF PUBLIC POLICY|UNIVERSITY OF ILLINOIS AT URBANA CHAMPAIGN|UNIVERSITY OF ILLINOIS AT URBANA CHAMPAIGN
ERIN KEANE SCOTT|HARRIS SCHOOL OF PUBLIC POLICY|NORTHWESTERN UNIVERS|LOYOLA UNIVERSITY CHICAGO
ETHAN BUENO DE MESQUITA|HARRIS SCHOOL OF PUBLIC POLICY|HARVARD UNIVERSITY|HARVARD UNIVERSITY
ETHAN RUCKER|HARRIS SCHOOL OF PUBLIC POLICY|LOYOLA UNIVERSITY CHICAGO|LOYOLA UNIVERSITY CHICAGO
EYAL FRANK|HARRIS SCHOOL OF PUBLIC POLICY|COLUMBIA UNIVERSITY|COLUMBIA UNIVERSITY
EDWARDO L. RHODES|INDIANA UNIVERSITY O'NEILL SCHOOL|CARNEGIE-MELLON UNIVERSITY|CARNEGIE-MELLON UNIVERSITY
ELI Z. BARATZ|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
ELISABETH R. GERBER|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF MICHIGAN|UNIVERSITY OF MICHIGAN
EMILY DERRINGER MEE|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ERIC  SWANK|INDIANA UNIVERSITY O'NEILL SCHOOL|VALUE ERROR|VALUE ERROR
ESTIMATING THE DISTASTE FOR PRICE GOUGING WITH INCENTIVIZED CONSUMER REPORTS|FORD SCHOOL OF PUBLIC POLICY|UNIVERSITY OF CHICAGO|UNIVERSITY OF CHICAGO
EUGENE MCGREGOR, JR.|INDIANA UNIVERSITY O'NEILL SCHOOL|SYRACUSE UNIVERSITY|SYRACUSE UNIVERSITY
EUIPYO LEE|INDIANA UNIVERSITY O'NEILL SCHOOL|INDIANA UNIVERSITY|INDIANA UNIVERSITY
FAITHE TATUM|HARRIS SCHOOL OF PUBLIC POLICY|HAROLD WASHINGTON COLLEGE|HAROLD WASHINGTON COLLEGE
